,Sequence Title,Query Title,Pident,Bitscore,Subject Sequence Length,e-value,Query Sequence Length,Start of Alignment in Subject,End of Alignment in Query,Start of Alignment in Query,End of Alignment in Query,mobileOG ID,Gene Name,Best Hit Accession ID,Major mobileOG Category,Minor mobileOG Category,Source Database,Evidence Type,Contig/ORF Name,ORF_Start_Stop_Strands,ORF_Start,ORF_End,Sense or Antisense Strand,Prodigal ID,Prodigal Designated Contigs,Unique_ORF,Partial Tag,Start Codon,RBS Motif,RBS Spacer,GC Content,Specific Contig,Final Sample Name
0,mobileOG_000726764|NA:Keyword|Q9L792|integration/excision|NA|ISFinder|Keyword Search,CP073820_1_226 # 268571 # 269533 # 1 # ID=1_226;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.624,100.0,653.3,320,2.1e-186,321,1,320,1,320,mobileOG_000726764,NA:Keyword,Q9L792,integration/excision,NA,ISFinder,Keyword Search,CP073820_1_226, 268571 # 269533 # 1 , 268571,269533,1 ,1_226,1,226,00,ATG,GGAGG,5-10bp,0.624,CP073820_1,mobileOG_000726764_CP073820_1
1,mobileOG_000277175|tISRso16a|Q5H2C2|integration/excision|NA|ISFinder|Homology,CP073820_1_374 # 444697 # 444822 # 1 # ID=1_374;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.571,100.0,82.4,88,1.9e-15,42,48,88,1,41,mobileOG_000277175,tISRso16a,Q5H2C2,integration/excision,NA,ISFinder,Homology,CP073820_1_374, 444697 # 444822 # 1 , 444697,444822,1 ,1_374,1,374,00,ATG,None,None,0.571,CP073820_1,mobileOG_000277175_CP073820_1
2,mobileOG_000726765|NA:Keyword|Q9AG81|integration/excision|NA|ISFinder|Keyword Search,CP073820_1_440 # 508923 # 509078 # 1 # ID=1_440;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.571,100.0,96.7,266,1.2e-19,52,1,46,1,46,mobileOG_000726765,NA:Keyword,Q9AG81,integration/excision,NA,ISFinder,Keyword Search,CP073820_1_440, 508923 # 509078 # 1 , 508923,509078,1 ,1_440,1,440,00,ATG,None,None,0.571,CP073820_1,mobileOG_000726765_CP073820_1
3,mobileOG_000726771|NA:Keyword|Q5H6E5|integration/excision|NA|ISFinder|Keyword Search,CP073820_1_558 # 638229 # 638600 # -1 # ID=1_558;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.664,100.0,263.8,458,1.4e-69,124,1,123,1,123,mobileOG_000726771,NA:Keyword,Q5H6E5,integration/excision,NA,ISFinder,Keyword Search,CP073820_1_558, 638229 # 638600 # -1 , 638229,638600,-1 ,1_558,1,558,00,ATG,None,None,0.664,CP073820_1,mobileOG_000726771_CP073820_1
4,mobileOG_000725735|NA:Keyword|A0A0C5V5L1|integration/excision|NA|ISFinder|Keyword Search,CP073820_1_996 # 1095137 # 1096093 # -1 # ID=1_996;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.624,100.0,616.3,318,2.8e-175,319,1,318,1,318,mobileOG_000725735,NA:Keyword,A0A0C5V5L1,integration/excision,NA,ISFinder,Keyword Search,CP073820_1_996, 1095137 # 1096093 # -1 , 1095137,1096093,-1 ,1_996,1,996,00,ATG,GGAG/GAGG,5-10bp,0.624,CP073820_1,mobileOG_000725735_CP073820_1
5,mobileOG_000338730|insH6|WP_011258529.1|integration/excision|NA|Plasmid RefSeq|Homology,CP073820_1_1008 # 1113936 # 1114904 # 1 # ID=1_1008;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.613,100.0,649.4,322,3e-185,323,1,322,1,322,mobileOG_000338730,insH6,WP_011258529.1,integration/excision,NA,Plasmid RefSeq,Homology,CP073820_1_1008, 1113936 # 1114904 # 1 , 1113936,1114904,1 ,1_1008,1,1008,00,ATG,AGGAG,5-10bp,0.613,CP073820_1,mobileOG_000338730_CP073820_1
6,mobileOG_000277174|insH6|A0A0C5V4U8|integration/excision|NA|ISFinder|Homology,CP073820_1_1076 # 1177655 # 1178623 # 1 # ID=1_1076;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.613,100.0,649.4,322,3e-185,323,1,322,1,322,mobileOG_000277174,insH6,A0A0C5V4U8,integration/excision,NA,ISFinder,Homology,CP073820_1_1076, 1177655 # 1178623 # 1 , 1177655,1178623,1 ,1_1076,1,1076,00,ATG,AGGAG,5-10bp,0.613,CP073820_1,mobileOG_000277174_CP073820_1
7,mobileOG_000725735|NA:Keyword|A0A0C5V5L1|integration/excision|NA|ISFinder|Keyword Search,CP073820_1_1244 # 1341946 # 1342902 # 1 # ID=1_1244;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.624,100.0,616.3,318,2.8e-175,319,1,318,1,318,mobileOG_000725735,NA:Keyword,A0A0C5V5L1,integration/excision,NA,ISFinder,Keyword Search,CP073820_1_1244, 1341946 # 1342902 # 1 , 1341946,1342902,1 ,1_1244,1,1244,00,ATG,GGAG/GAGG,5-10bp,0.624,CP073820_1,mobileOG_000725735_CP073820_1
8,mobileOG_000277174|insH6|A0A0C5V4U8|integration/excision|NA|ISFinder|Homology,CP073820_1_1246 # 1344984 # 1345952 # -1 # ID=1_1246;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.614,100.0,649.4,322,3e-185,323,1,322,1,322,mobileOG_000277174,insH6,A0A0C5V4U8,integration/excision,NA,ISFinder,Homology,CP073820_1_1246, 1344984 # 1345952 # -1 , 1344984,1345952,-1 ,1_1246,1,1246,00,ATG,AGGAG,5-10bp,0.614,CP073820_1,mobileOG_000277174_CP073820_1
9,mobileOG_000277174|insH6|A0A0C5V4U8|integration/excision|NA|ISFinder|Homology,CP073820_1_1292 # 1401726 # 1402694 # -1 # ID=1_1292;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.615,100.0,649.4,322,3e-185,323,1,322,1,322,mobileOG_000277174,insH6,A0A0C5V4U8,integration/excision,NA,ISFinder,Homology,CP073820_1_1292, 1401726 # 1402694 # -1 , 1401726,1402694,-1 ,1_1292,1,1292,00,ATG,AGGAG,5-10bp,0.615,CP073820_1,mobileOG_000277174_CP073820_1
10,mobileOG_000277174|insH6|A0A0C5V4U8|integration/excision|NA|ISFinder|Homology,CP073820_1_1363 # 1480755 # 1481723 # -1 # ID=1_1363;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.615,100.0,649.4,322,3e-185,323,1,322,1,322,mobileOG_000277174,insH6,A0A0C5V4U8,integration/excision,NA,ISFinder,Homology,CP073820_1_1363, 1480755 # 1481723 # -1 , 1480755,1481723,-1 ,1_1363,1,1363,00,ATG,AGGAG,5-10bp,0.615,CP073820_1,mobileOG_000277174_CP073820_1
11,mobileOG_000726761|NA:Keyword|Q5GVX5|integration/excision|NA|ISFinder|Keyword Search,CP073820_1_1364 # 1482104 # 1482340 # 1 # ID=1_1364;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.654,100.0,145.2,411,4.5e-34,79,1,74,1,74,mobileOG_000726761,NA:Keyword,Q5GVX5,integration/excision,NA,ISFinder,Keyword Search,CP073820_1_1364, 1482104 # 1482340 # 1 , 1482104,1482340,1 ,1_1364,1,1364,00,ATG,GGA/GAG/AGG,5-10bp,0.654,CP073820_1,mobileOG_000726761_CP073820_1
12,mobileOG_000277175|tISRso16a|Q5H2C2|integration/excision|NA|ISFinder|Homology,CP073820_1_1438 # 1571786 # 1571911 # 1 # ID=1_1438;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.571,100.0,82.4,88,1.9e-15,42,48,88,1,41,mobileOG_000277175,tISRso16a,Q5H2C2,integration/excision,NA,ISFinder,Homology,CP073820_1_1438, 1571786 # 1571911 # 1 , 1571786,1571911,1 ,1_1438,1,1438,00,ATG,None,None,0.571,CP073820_1,mobileOG_000277175_CP073820_1
13,mobileOG_000338730|insH6|WP_011258529.1|integration/excision|NA|Plasmid RefSeq|Homology,CP073820_1_1445 # 1574924 # 1575892 # -1 # ID=1_1445;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.614,100.0,649.4,322,3e-185,323,1,322,1,322,mobileOG_000338730,insH6,WP_011258529.1,integration/excision,NA,Plasmid RefSeq,Homology,CP073820_1_1445, 1574924 # 1575892 # -1 , 1574924,1575892,-1 ,1_1445,1,1445,00,ATG,AGGAG,5-10bp,0.614,CP073820_1,mobileOG_000338730_CP073820_1
14,mobileOG_000338730|insH6|WP_011258529.1|integration/excision|NA|Plasmid RefSeq|Homology,CP073820_1_1456 # 1591165 # 1592133 # -1 # ID=1_1456;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.613,100.0,649.4,322,3e-185,323,1,322,1,322,mobileOG_000338730,insH6,WP_011258529.1,integration/excision,NA,Plasmid RefSeq,Homology,CP073820_1_1456, 1591165 # 1592133 # -1 , 1591165,1592133,-1 ,1_1456,1,1456,00,ATG,AGGAG,5-10bp,0.613,CP073820_1,mobileOG_000338730_CP073820_1
15,mobileOG_000338730|insH6|WP_011258529.1|integration/excision|NA|Plasmid RefSeq|Homology,CP073820_1_1716 # 1881597 # 1882523 # -1 # ID=1_1716;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.609,100.0,612.1,322,5e-174,309,1,304,1,304,mobileOG_000338730,insH6,WP_011258529.1,integration/excision,NA,Plasmid RefSeq,Homology,CP073820_1_1716, 1881597 # 1882523 # -1 , 1881597,1882523,-1 ,1_1716,1,1716,00,ATG,AGGAG,5-10bp,0.609,CP073820_1,mobileOG_000338730_CP073820_1
16,mobileOG_000277174|insH6|A0A0C5V4U8|integration/excision|NA|ISFinder|Homology,CP073820_1_1718 # 1884930 # 1885898 # 1 # ID=1_1718;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.613,100.0,649.4,322,3e-185,323,1,322,1,322,mobileOG_000277174,insH6,A0A0C5V4U8,integration/excision,NA,ISFinder,Homology,CP073820_1_1718, 1884930 # 1885898 # 1 , 1884930,1885898,1 ,1_1718,1,1718,00,ATG,AGGAG,5-10bp,0.613,CP073820_1,mobileOG_000277174_CP073820_1
17,mobileOG_000338730|insH6|WP_011258529.1|integration/excision|NA|Plasmid RefSeq|Homology,CP073820_1_1907 # 2106801 # 2107769 # -1 # ID=1_1907;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.612,100.0,649.4,322,3e-185,323,1,322,1,322,mobileOG_000338730,insH6,WP_011258529.1,integration/excision,NA,Plasmid RefSeq,Homology,CP073820_1_1907, 2106801 # 2107769 # -1 , 2106801,2107769,-1 ,1_1907,1,1907,00,ATG,AGGAG,5-10bp,0.612,CP073820_1,mobileOG_000338730_CP073820_1
18,"mobileOG_000758858|NA:Keyword|A0A5Q7MMX9|replication/recombination/repair|initiation,copy number control,plasmid|ACLAME|Keyword Search",CP073820_1_2145 # 2366020 # 2367093 # 1 # ID=1_2145;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.597,100.0,741.1,357,8.3e-213,358,1,357,1,357,mobileOG_000758858,NA:Keyword,A0A5Q7MMX9,replication/recombination/repair,"initiation,copy number control,plasmid",ACLAME,Keyword Search,CP073820_1_2145, 2366020 # 2367093 # 1 , 2366020,2367093,1 ,1_2145,1,2145,00,GTG,GGA/GAG/AGG,5-10bp,0.597,CP073820_1,mobileOG_000758858_CP073820_1
19,mobileOG_000277174|insH6|A0A0C5V4U8|integration/excision|NA|ISFinder|Homology,CP073820_1_2297 # 2529860 # 2530828 # -1 # ID=1_2297;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.614,100.0,649.4,322,3e-185,323,1,322,1,322,mobileOG_000277174,insH6,A0A0C5V4U8,integration/excision,NA,ISFinder,Homology,CP073820_1_2297, 2529860 # 2530828 # -1 , 2529860,2530828,-1 ,1_2297,1,2297,00,ATG,AGGAG,5-10bp,0.614,CP073820_1,mobileOG_000277174_CP073820_1
