Contig,Start,Stop,Score,Threhold
CP047492_1,1,5000,0.18,12.356
CP047492_1,27500,35000,0.216,12.356
CP047492_1,52500,70000,0.138,12.356
CP047492_1,80000,87500,0.199,12.356
CP047492_1,112500,122500,0.214,12.356
CP047492_1,130000,135000,0.127,12.356
CP047492_1,177500,185000,0.135,12.356
CP047492_1,232500,237500,0.124,12.356
CP047492_1,245000,250000,0.136,12.356
CP047492_1,292500,305000,0.161,12.356
CP047492_1,317500,325000,0.174,12.356
CP047492_1,380000,387500,0.162,12.356
CP047492_1,397500,402500,0.125,12.356
CP047492_1,535000,550000,0.193,12.356
CP047492_1,575000,582500,0.21,12.356
CP047492_1,610000,622500,0.311,12.356
CP047492_1,635000,640000,0.147,12.356
CP047492_1,660000,665000,0.144,12.356
CP047492_1,702500,707500,0.139,12.356
CP047492_1,745000,750000,0.149,12.356
CP047492_1,757500,762500,0.126,12.356
CP047492_1,792500,810000,0.424,12.356
CP047492_1,840000,847500,0.144,12.356
CP047492_1,890000,902500,0.245,12.356
CP047492_1,917500,925000,0.141,12.356
CP047492_1,935000,940000,0.131,12.356
CP047492_1,990000,995000,0.156,12.356
CP047492_1,1007500,1015000,0.151,12.356
CP047492_1,1020000,1025000,0.131,12.356
CP047492_1,1027500,1032500,0.143,12.356
CP047492_1,1107500,1120000,0.149,12.356
CP047492_1,1122500,1127500,0.142,12.356
CP047492_1,1152500,1160000,0.138,12.356
CP047492_1,1197500,1210000,0.145,12.356
CP047492_1,1287500,1295000,0.155,12.356
CP047492_1,1322500,1347500,0.196,12.356
CP047492_1,1495000,1510000,0.677,12.356
CP047492_1,1560000,1580000,0.261,12.356
CP047492_1,1582500,1587500,0.138,12.356
CP047492_1,1602500,1627500,0.176,12.356
CP047492_1,1630000,1642500,0.159,12.356
CP047492_1,1665000,1675000,0.227,12.356
CP047492_1,1825000,1830000,0.138,12.356
CP047492_1,1842500,1847500,0.132,12.356
CP047492_1,1855000,1865000,0.358,12.356
CP047492_1,1887500,1895000,0.181,12.356
CP047492_1,1900000,1905000,0.168,12.356
CP047492_1,1927500,1932500,0.127,12.356
CP047492_1,1990000,2000000,0.171,12.356
CP047492_1,2042500,2047500,0.131,12.356
CP047492_1,2220000,2237500,0.18,12.356
CP047492_1,2257500,2262500,0.179,12.356
CP047492_1,2287500,2292500,0.127,12.356
CP047492_1,2335000,2340000,0.137,12.356
CP047492_1,2367500,2380000,0.223,12.356
CP047492_1,2392500,2397500,0.168,12.356
CP047492_1,2437500,2442500,0.151,12.356
CP047492_1,2450000,2460000,0.182,12.356
CP047492_1,2462500,2467500,0.174,12.356
CP047492_1,2470000,2475000,0.126,12.356
CP047492_1,2512500,2560000,0.195,12.356
CP047492_1,2702500,2710000,0.141,12.356
CP047492_1,2782500,2790000,0.154,12.356
CP047492_1,2792500,2797500,0.151,12.356
CP047492_1,2825000,2845000,0.298,12.356
CP047492_1,2850000,2855000,0.126,12.356
CP047492_1,2887500,2895000,0.143,12.356
CP047492_1,2945000,2955000,0.182,12.356
CP047492_1,3037500,3075000,0.198,12.356
CP047492_1,3095000,3102500,0.183,12.356
CP047492_1,3107500,3112500,0.128,12.356
CP047492_1,3197500,3205000,0.158,12.356
CP047492_1,3275000,3297500,0.197,12.356
CP047492_1,3305000,3312500,0.176,12.356
CP047492_1,3317500,3322500,0.131,12.356
CP047492_1,3332500,3340000,0.253,12.356
CP047492_1,3350000,3357500,0.234,12.356
CP047492_1,3457500,3462500,0.134,12.356
CP047492_1,3472500,3480000,0.151,12.356
CP047492_1,3487500,3505000,0.202,12.356
CP047492_1,3510000,3520000,0.292,12.356
CP047492_1,3532500,3550000,0.237,12.356
CP047492_1,3555000,3572500,0.148,12.356
CP047492_1,3612500,3627500,0.254,12.356
CP047492_1,3632500,3642500,0.157,12.356
CP047492_1,3647500,3655000,0.249,12.356
CP047492_1,3692500,3700000,0.161,12.356
CP047492_1,3722500,3737500,0.187,12.356
CP047492_1,3742500,3747500,0.165,12.356
CP047492_1,3795000,3822500,0.276,12.356
CP047492_1,3892500,3902500,0.153,12.356
CP047492_1,3915000,3920000,0.14,12.356
CP047492_1,3930000,3942500,0.157,12.356
CP047492_1,3947500,3955000,0.168,12.356
CP047492_1,4000000,4005000,0.149,12.356
CP047492_1,4007500,4045000,0.189,12.356
CP047492_1,4097500,4102500,0.128,12.356
CP047492_1,4265000,4270000,0.124,12.356
CP047492_1,4280000,4285000,0.166,12.356
CP047492_1,4287500,4292500,0.141,12.356
CP047492_1,4417500,4422500,0.126,12.356
CP047492_1,4502500,4512500,0.147,12.356
CP047492_1,4517500,4522500,0.137,12.356
CP047492_1,4540000,4557500,0.2,12.356
CP047492_1,4612500,4622500,0.355,12.356
CP047492_1,4625000,4647500,0.226,12.356
CP047492_1,4655000,4662500,0.21,12.356
CP047492_1,4680000,4692500,0.458,12.356
CP047492_1,4722500,4730000,0.228,12.356
CP047492_1,4760000,4780000,0.349,12.356
CP047492_1,4852500,4860000,0.146,12.356
CP047492_1,4862500,4867500,0.147,12.356
CP047492_1,4905000,4917500,0.148,12.356
CP047492_1,4927500,4942500,0.4,12.356
CP047492_1,4947500,4955000,0.142,12.356
CP047492_1,5060000,5072500,0.293,12.356
