,Sequence Title,Query Title,Pident,Bitscore,Subject Sequence Length,e-value,Query Sequence Length,Start of Alignment in Subject,End of Alignment in Query,Start of Alignment in Query,End of Alignment in Query,mobileOG ID,Gene Name,Best Hit Accession ID,Major mobileOG Category,Minor mobileOG Category,Source Database,Evidence Type,Contig/ORF Name,ORF_Start_Stop_Strands,ORF_Start,ORF_End,Sense or Antisense Strand,Prodigal ID,Prodigal Designated Contigs,Unique_ORF,Partial Tag,Start Codon,RBS Motif,RBS Spacer,GC Content,Specific Contig,Final Sample Name
0,mobileOG_000026103|gyrB|P0AES6|replication/recombination/repair|NA|Multiple|Manual,CP080589_4 # 5049 # 7493 # 1 # ID=1_4;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.643,61.6,973.4,804,2.3000000000000003e-282,815,2,804,12,814,mobileOG_000026103,gyrB,P0AES6,replication/recombination/repair,NA,Multiple,Manual,CP080589_4, 5049 # 7493 # 1 , 5049,7493,1 ,1_4,1,4,00,ATG,None,None,0.643,CP080589,mobileOG_000026103_CP080589
1,mobileOG_000725735|NA:Keyword|A0A0C5V5L1|integration/excision|NA|ISFinder|Keyword Search,CP080589_15 # 17005 # 17961 # 1 # ID=1_15;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.626,98.7,608.2,318,7.5e-173,319,1,318,1,318,mobileOG_000725735,NA:Keyword,A0A0C5V5L1,integration/excision,NA,ISFinder,Keyword Search,CP080589_15, 17005 # 17961 # 1 , 17005,17961,1 ,1_15,1,15,00,ATG,GGAG/GAGG,5-10bp,0.626,CP080589,mobileOG_000725735_CP080589
2,mobileOG_000726767|NA:Keyword|Q5GY58|integration/excision|NA|ISFinder|Keyword Search,CP080589_16 # 18268 # 19233 # 1 # ID=1_16;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.635,97.5,640.2,332,1.8000000000000002e-182,322,12,332,1,321,mobileOG_000726767,NA:Keyword,Q5GY58,integration/excision,NA,ISFinder,Keyword Search,CP080589_16, 18268 # 19233 # 1 , 18268,19233,1 ,1_16,1,16,00,ATG,GGA/GAG/AGG,5-10bp,0.635,CP080589,mobileOG_000726767_CP080589
3,mobileOG_000277174|insH6|A0A0C5V4U8|integration/excision|NA|ISFinder|Homology,CP080589_20 # 23974 # 24942 # 1 # ID=1_20;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.613,100.0,649.4,322,3e-185,323,1,322,1,322,mobileOG_000277174,insH6,A0A0C5V4U8,integration/excision,NA,ISFinder,Homology,CP080589_20, 23974 # 24942 # 1 , 23974,24942,1 ,1_20,1,20,00,ATG,AGGAG,5-10bp,0.613,CP080589,mobileOG_000277174_CP080589
4,mobileOG_000726772|NA:Keyword|A0A0K0GNE0|integration/excision|NA|ISFinder|Keyword Search,CP080589_33 # 39723 # 39821 # 1 # ID=1_33;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.697,100.0,70.1,491,7.6e-12,33,1,32,1,32,mobileOG_000726772,NA:Keyword,A0A0K0GNE0,integration/excision,NA,ISFinder,Keyword Search,CP080589_33, 39723 # 39821 # 1 , 39723,39821,1 ,1_33,1,33,00,ATG,GGAG/GAGG,5-10bp,0.697,CP080589,mobileOG_000726772_CP080589
5,mobileOG_000726772|NA:Keyword|A0A0K0GNE0|integration/excision|NA|ISFinder|Keyword Search,CP080589_34 # 39972 # 41198 # 1 # ID=1_34;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.641,97.5,786.6,491,2e-226,409,84,491,1,408,mobileOG_000726772,NA:Keyword,A0A0K0GNE0,integration/excision,NA,ISFinder,Keyword Search,CP080589_34, 39972 # 41198 # 1 , 39972,41198,1 ,1_34,1,34,00,ATG,None,None,0.641,CP080589,mobileOG_000726772_CP080589
6,mobileOG_000757700|NA:Keyword|A0A088FNY4|integration/excision|NA|Plasmid RefSeq|Keyword Search,CP080589_35 # 41337 # 41759 # 1 # ID=1_35;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.664,96.0,256.5,458,2.5000000000000003e-67,141,1,125,1,125,mobileOG_000757700,NA:Keyword,A0A088FNY4,integration/excision,NA,Plasmid RefSeq,Keyword Search,CP080589_35, 41337 # 41759 # 1 , 41337,41759,1 ,1_35,1,35,00,ATG,None,None,0.664,CP080589,mobileOG_000757700_CP080589
7,mobileOG_000726771|NA:Keyword|Q5H6E5|integration/excision|NA|ISFinder|Keyword Search,CP080589_36 # 41756 # 42232 # 1 # ID=1_36;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.642,96.8,321.2,458,9.2e-87,159,301,458,1,158,mobileOG_000726771,NA:Keyword,Q5H6E5,integration/excision,NA,ISFinder,Keyword Search,CP080589_36, 41756 # 42232 # 1 , 41756,42232,1 ,1_36,1,36,00,GTG,GGA/GAG/AGG,11-12bp,0.642,CP080589,mobileOG_000726771_CP080589
8,mobileOG_000726762|NA:Keyword|Q5H569|integration/excision|NA|ISFinder|Keyword Search,CP080589_38 # 43498 # 44880 # 1 # ID=1_38;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.625,97.5,877.9,439,7.4e-254,461,1,439,22,460,mobileOG_000726762,NA:Keyword,Q5H569,integration/excision,NA,ISFinder,Keyword Search,CP080589_38, 43498 # 44880 # 1 , 43498,44880,1 ,1_38,1,38,00,ATG,None,None,0.625,CP080589,mobileOG_000726762_CP080589
9,mobileOG_000726765|NA:Keyword|Q9AG81|integration/excision|NA|ISFinder|Keyword Search,CP080589_39 # 44976 # 45431 # -1 # ID=1_39;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.590,94.7,289.3,266,3.7e-77,152,116,266,1,151,mobileOG_000726765,NA:Keyword,Q9AG81,integration/excision,NA,ISFinder,Keyword Search,CP080589_39, 44976 # 45431 # -1 , 44976,45431,-1 ,1_39,1,39,00,GTG,GGA/GAG/AGG,5-10bp,0.590,CP080589,mobileOG_000726765_CP080589
10,mobileOG_000418745|NA:Keyword|A0A1L5Y8X5|integration/excision|NA|COMPASS|Keyword Search,CP080589_40 # 45418 # 45774 # -1 # ID=1_40;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.588,75.0,180.3,125,1.9e-44,119,5,116,6,117,mobileOG_000418745,NA:Keyword,A0A1L5Y8X5,integration/excision,NA,COMPASS,Keyword Search,CP080589_40, 45418 # 45774 # -1 , 45418,45774,-1 ,1_40,1,40,00,ATG,None,None,0.588,CP080589,mobileOG_000418745_CP080589
11,mobileOG_000740536|NA:Keyword|A0A221M591|integration/excision|NA|Plasmid RefSeq|Keyword Search,CP080589_60 # 73784 # 74518 # -1 # ID=1_60;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.627,89.8,436.8,320,2.3e-121,245,77,320,1,244,mobileOG_000740536,NA:Keyword,A0A221M591,integration/excision,NA,Plasmid RefSeq,Keyword Search,CP080589_60, 73784 # 74518 # -1 , 73784,74518,-1 ,1_60,1,60,00,ATG,None,None,0.627,CP080589,mobileOG_000740536_CP080589
12,mobileOG_000720479|NA:Keyword|A9IEE9|integration/excision|NA|ICE|Keyword Search,CP080589_62 # 75214 # 75519 # -1 # ID=1_62;partial=00;start_type=TTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.565,83.2,182.6,128,3.3e-45,102,28,128,1,101,mobileOG_000720479,NA:Keyword,A9IEE9,integration/excision,NA,ICE,Keyword Search,CP080589_62, 75214 # 75519 # -1 , 75214,75519,-1 ,1_62,1,62,00,TTG,GGA/GAG/AGG,5-10bp,0.565,CP080589,mobileOG_000720479_CP080589
13,mobileOG_000724668|NA:Keyword|CBI07744.1|integration/excision|NA|ISFinder|Keyword Search,CP080589_63 # 75558 # 75908 # -1 # ID=1_63;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.567,82.0,200.7,135,1.3e-50,117,24,134,1,111,mobileOG_000724668,NA:Keyword,CBI07744.1,integration/excision,NA,ISFinder,Keyword Search,CP080589_63, 75558 # 75908 # -1 , 75558,75908,-1 ,1_63,1,63,00,ATG,None,None,0.567,CP080589,mobileOG_000724668_CP080589
14,mobileOG_000720479|NA:Keyword|A9IEE9|integration/excision|NA|ICE|Keyword Search,CP080589_96 # 113776 # 113922 # -1 # ID=1_96;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.544,83.3,84.7,128,4.4e-16,49,81,128,1,48,mobileOG_000720479,NA:Keyword,A9IEE9,integration/excision,NA,ICE,Keyword Search,CP080589_96, 113776 # 113922 # -1 , 113776,113922,-1 ,1_96,1,96,00,ATG,AGGA/GGAG/GAGG,11-12bp,0.544,CP080589,mobileOG_000720479_CP080589
15,mobileOG_000724628|NA:Keyword|A0A2V4GC41|integration/excision|NA|ISFinder|Keyword Search,CP080589_97 # 113877 # 114470 # -1 # ID=1_97;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.593,82.9,311.6,255,9e-84,198,24,198,1,175,mobileOG_000724628,NA:Keyword,A0A2V4GC41,integration/excision,NA,ISFinder,Keyword Search,CP080589_97, 113877 # 114470 # -1 , 113877,114470,-1 ,1_97,1,97,00,ATG,None,None,0.593,CP080589,mobileOG_000724628_CP080589
