,Sequence Title,Query Title,Pident,Bitscore,Subject Sequence Length,e-value,Query Sequence Length,Start of Alignment in Subject,End of Alignment in Query,Start of Alignment in Query,End of Alignment in Query,mobileOG ID,Gene Name,Best Hit Accession ID,Major mobileOG Category,Minor mobileOG Category,Source Database,Evidence Type,Contig/ORF Name,ORF_Start_Stop_Strands,ORF_Start,ORF_End,Sense or Antisense Strand,Prodigal ID,Prodigal Designated Contigs,Unique_ORF,Partial Tag,Start Codon,RBS Motif,RBS Spacer,GC Content,Specific Contig,Final Sample Name
0,mobileOG_000725735|NA:Keyword|A0A0C5V5L1|integration/excision|NA|ISFinder|Keyword Search,CP007221_1_19 # 20167 # 20685 # 1 # ID=1_19;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.601,100.0,340.1,318,2.1e-92,173,156,318,10,172,mobileOG_000725735,NA:Keyword,A0A0C5V5L1,integration/excision,NA,ISFinder,Keyword Search,CP007221_1_19, 20167 # 20685 # 1 , 20167,20685,1 ,1_19,1,19,00,GTG,GGA/GAG/AGG,11-12bp,0.601,CP007221_1,mobileOG_000725735_CP007221_1
1,mobileOG_000726772|NA:Keyword|A0A0K0GNE0|integration/excision|NA|ISFinder|Keyword Search,CP007221_1_39 # 44014 # 44112 # 1 # ID=1_39;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.697,100.0,70.1,491,7.6e-12,33,1,32,1,32,mobileOG_000726772,NA:Keyword,A0A0K0GNE0,integration/excision,NA,ISFinder,Keyword Search,CP007221_1_39, 44014 # 44112 # 1 , 44014,44112,1 ,1_39,1,39,00,ATG,GGAG/GAGG,5-10bp,0.697,CP007221_1,mobileOG_000726772_CP007221_1
2,mobileOG_000277174|insH6|A0A0C5V4U8|integration/excision|NA|ISFinder|Homology,CP007221_1_405 # 467522 # 468490 # -1 # ID=1_405;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.614,100.0,649.4,322,3e-185,323,1,322,1,322,mobileOG_000277174,insH6,A0A0C5V4U8,integration/excision,NA,ISFinder,Homology,CP007221_1_405, 467522 # 468490 # -1 , 467522,468490,-1 ,1_405,1,405,00,ATG,AGGAG,5-10bp,0.614,CP007221_1,mobileOG_000277174_CP007221_1
3,mobileOG_000725735|NA:Keyword|A0A0C5V5L1|integration/excision|NA|ISFinder|Keyword Search,CP007221_1_420 # 485904 # 486860 # -1 # ID=1_420;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.625,100.0,616.3,318,2.8e-175,319,1,318,1,318,mobileOG_000725735,NA:Keyword,A0A0C5V5L1,integration/excision,NA,ISFinder,Keyword Search,CP007221_1_420, 485904 # 486860 # -1 , 485904,486860,-1 ,1_420,1,420,00,ATG,GGAG/GAGG,5-10bp,0.625,CP007221_1,mobileOG_000725735_CP007221_1
4,mobileOG_000726772|NA:Keyword|A0A0K0GNE0|integration/excision|NA|ISFinder|Keyword Search,CP007221_1_593 # 655790 # 655888 # 1 # ID=1_593;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.697,100.0,70.1,491,7.6e-12,33,1,32,1,32,mobileOG_000726772,NA:Keyword,A0A0K0GNE0,integration/excision,NA,ISFinder,Keyword Search,CP007221_1_593, 655790 # 655888 # 1 , 655790,655888,1 ,1_593,1,593,00,ATG,GGAG/GAGG,5-10bp,0.697,CP007221_1,mobileOG_000726772_CP007221_1
5,mobileOG_000277174|insH6|A0A0C5V4U8|integration/excision|NA|ISFinder|Homology,CP007221_1_1001 # 1120570 # 1120950 # 1 # ID=1_1001;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.619,100.0,246.1,322,3e-64,127,1,119,1,119,mobileOG_000277174,insH6,A0A0C5V4U8,integration/excision,NA,ISFinder,Homology,CP007221_1_1001, 1120570 # 1120950 # 1 , 1120570,1120950,1 ,1_1001,1,1001,00,ATG,AGGAG,5-10bp,0.619,CP007221_1,mobileOG_000277174_CP007221_1
6,mobileOG_000277174|insH6|A0A0C5V4U8|integration/excision|NA|ISFinder|Homology,CP007221_1_1004 # 1122134 # 1122745 # 1 # ID=1_1004;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.609,100.0,408.7,322,5.6e-113,204,120,322,1,203,mobileOG_000277174,insH6,A0A0C5V4U8,integration/excision,NA,ISFinder,Homology,CP007221_1_1004, 1122134 # 1122745 # 1 , 1122134,1122745,1 ,1_1004,1,1004,00,ATG,GGA/GAG/AGG,5-10bp,0.609,CP007221_1,mobileOG_000277174_CP007221_1
7,mobileOG_000031113|lys|A0A0C5UY16|phage|lysis/lysogeny|ACLAME|Homology,CP007221_1_1117 # 1246111 # 1246749 # 1 # ID=1_1117;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.667,100.0,431.0,212,1.1e-119,213,1,212,1,212,mobileOG_000031113,lys,A0A0C5UY16,phage,lysis/lysogeny,ACLAME,Homology,CP007221_1_1117, 1246111 # 1246749 # 1 , 1246111,1246749,1 ,1_1117,1,1117,00,ATG,GGA/GAG/AGG,5-10bp,0.667,CP007221_1,mobileOG_000031113_CP007221_1
8,"mobileOG_000031933|fI|A0A0C5V982|phage|structural,infection,initiation|ACLAME|Homology",CP007221_1_1127 # 1252693 # 1253859 # 1 # ID=1_1127;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.640,100.0,753.1,388,2.3e-216,389,1,388,1,388,mobileOG_000031933,fI,A0A0C5V982,phage,"structural,infection,initiation",ACLAME,Homology,CP007221_1_1127, 1252693 # 1253859 # 1 , 1252693,1253859,1 ,1_1127,1,1127,00,ATG,GGAG/GAGG,5-10bp,0.640,CP007221_1,mobileOG_000031933_CP007221_1
9,mobileOG_000031932|FII|A0A0C5UI21|phage|structural|ACLAME|Homology,CP007221_1_1128 # 1253890 # 1254399 # 1 # ID=1_1128;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.622,100.0,338.6,169,5.9e-92,170,1,169,1,169,mobileOG_000031932,FII,A0A0C5UI21,phage,structural,ACLAME,Homology,CP007221_1_1128, 1253890 # 1254399 # 1 , 1253890,1254399,1 ,1_1128,1,1128,00,ATG,GGAG/GAGG,5-10bp,0.622,CP007221_1,mobileOG_000031932_CP007221_1
10,mobileOG_000031937|E'|A0A0C5VA12|phage|structural|ACLAME|Homology,CP007221_1_1130 # 1254755 # 1254868 # 1 # ID=1_1130;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.658,100.0,84.7,37,3.4e-16,38,1,37,1,37,mobileOG_000031937,E',A0A0C5VA12,phage,structural,ACLAME,Homology,CP007221_1_1130, 1254755 # 1254868 # 1 , 1254755,1254868,1 ,1_1130,1,1130,00,ATG,GGAG/GAGG,5-10bp,0.658,CP007221_1,mobileOG_000031937_CP007221_1
