############################################
CP061375_1 ( Unknown ) 
--------------------------------------------
### System: CAS-TypeIC (UserReplicon_CAS-TypeIC_1)
#SequenceID	Cas-type/subtype	Gene status	System	Type	Begin	End	Strand	Other_information
CP061375_1_2209	cas3_TypeI	accessory	CAS	CDS	2310763	2313054	+	ID=1_2209;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.637;conf=99.99;score=260.88;cscore=246.48;sscore=14.40;rscore=10.11;uscore=-0.34;tscore=4.62;
CP061375_1_2210	cas5c_TypeIC	mandatory	CAS-TypeIC	CDS	2313182	2313856	+	ID=1_2210;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.661;conf=100.00;score=102.14;cscore=94.26;sscore=7.88;rscore=2.54;uscore=0.72;tscore=4.62;
CP061375_1_2211	cas8c_TypeIC	mandatory	CAS-TypeIC	CDS	2313853	2315697	+	ID=1_2211;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.636;conf=99.99;score=221.89;cscore=215.97;sscore=5.92;rscore=-0.20;uscore=-1.12;tscore=4.62;
CP061375_1_2212	cas7c_TypeIC	mandatory	CAS-TypeIC	CDS	2315694	2316560	+	ID=1_2212;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.627;conf=99.99;score=190.05;cscore=167.95;sscore=22.11;rscore=15.07;uscore=1.12;tscore=4.62;
CP061375_1_2213	cas4_TypeI-II	accessory	CAS	CDS	2316580	2317212	+	ID=1_2213;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.684;conf=100.00;score=104.80;cscore=88.52;sscore=16.28;rscore=10.11;uscore=0.48;tscore=4.62;
CP061375_1_2214	cas1_TypeIC	mandatory	CAS-TypeIC	CDS	2317215	2318249	+	ID=1_2214;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.663;conf=100.00;score=163.29;cscore=146.22;sscore=17.06;rscore=10.11;uscore=1.08;tscore=4.62;
CP061375_1_2215	cas2_TypeI-II-III	accessory	CAS	CDS	2318264	2318554	+	ID=1_2215;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.598;conf=99.98;score=37.43;cscore=21.11;sscore=16.32;rscore=10.11;uscore=0.47;tscore=4.62;
####Summary system CAS-TypeIC:begin=2310763;end=2318554:{sequenceID=CP061375_1} : [cas3_TypeI (2310763,2313054,+); cas5c_TypeIC (2313182,2313856,+); cas8c_TypeIC (2313853,2315697,+); cas7c_TypeIC (2315694,2316560,+); cas4_TypeI-II (2316580,2317212,+); cas1_TypeIC (2317215,2318249,+); cas2_TypeI-II-III (2318264,2318554,+)]


