,Sequence Title,Query Title,Pident,Bitscore,Subject Sequence Length,e-value,Query Sequence Length,Start of Alignment in Subject,End of Alignment in Query,Start of Alignment in Query,End of Alignment in Query,mobileOG ID,Gene Name,Best Hit Accession ID,Major mobileOG Category,Minor mobileOG Category,Source Database,Evidence Type,Contig/ORF Name,ORF_Start_Stop_Strands,ORF_Start,ORF_End,Sense or Antisense Strand,Prodigal ID,Prodigal Designated Contigs,Unique_ORF,Partial Tag,Start Codon,RBS Motif,RBS Spacer,GC Content,Specific Contig,Final Sample Name
0,mobileOG_000026103|gyrB|P0AES6|replication/recombination/repair|NA|Multiple|Manual,CP101719_1_4 # 5001 # 7445 # 1 # ID=1_4;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.645,61.5,972.2,804,5.1000000000000006e-282,815,2,804,12,814,mobileOG_000026103,gyrB,P0AES6,replication/recombination/repair,NA,Multiple,Manual,CP101719_1_4, 5001 # 7445 # 1 , 5001,7445,1 ,1_4,1,4,00,ATG,None,None,0.645,CP101719_1,mobileOG_000026103_CP101719_1
1,mobileOG_000726771|NA:Keyword|Q5H6E5|integration/excision|NA|ISFinder|Keyword Search,CP101719_1_15 # 17388 # 18764 # 1 # ID=1_15;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.638,94.8,859.0,458,3.5000000000000002e-248,459,1,458,1,458,mobileOG_000726771,NA:Keyword,Q5H6E5,integration/excision,NA,ISFinder,Keyword Search,CP101719_1_15, 17388 # 18764 # 1 , 17388,18764,1 ,1_15,1,15,00,ATG,None,None,0.638,CP101719_1,mobileOG_000726771_CP101719_1
2,mobileOG_000277174|insH6|A0A0C5V4U8|integration/excision|NA|ISFinder|Homology,CP101719_1_16 # 18993 # 19787 # -1 # ID=1_16;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.604,99.2,526.9,322,1.8e-148,265,59,322,1,264,mobileOG_000277174,insH6,A0A0C5V4U8,integration/excision,NA,ISFinder,Homology,CP101719_1_16, 18993 # 19787 # -1 , 18993,19787,-1 ,1_16,1,16,00,ATG,None,None,0.604,CP101719_1,mobileOG_000277174_CP101719_1
3,mobileOG_000277175|tISRso16a|Q5H2C2|integration/excision|NA|ISFinder|Homology,CP101719_1_17 # 19895 # 20158 # 1 # ID=1_17;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.587,96.6,172.2,88,3.8e-42,88,2,88,1,87,mobileOG_000277175,tISRso16a,Q5H2C2,integration/excision,NA,ISFinder,Homology,CP101719_1_17, 19895 # 20158 # 1 , 19895,20158,1 ,1_17,1,17,00,GTG,AGGAG,5-10bp,0.587,CP101719_1,mobileOG_000277175_CP101719_1
4,mobileOG_000277176|NA|A0A346MB22|integration/excision|NA|ISFinder|Homology,CP101719_1_18 # 20152 # 20997 # 1 # ID=1_18;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.637,93.6,527.7,328,1.0999999999999999e-148,282,48,328,1,281,mobileOG_000277176,NA,A0A346MB22,integration/excision,NA,ISFinder,Homology,CP101719_1_18, 20152 # 20997 # 1 , 20152,20997,1 ,1_18,1,18,00,ATG,None,None,0.637,CP101719_1,mobileOG_000277176_CP101719_1
5,mobileOG_000312638|insH6|WP_007962146.1|integration/excision|NA|Multiple|Homology,CP101719_1_19 # 21007 # 21168 # -1 # ID=1_19;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.648,93.5,92.4,326,2.3e-18,54,1,46,1,46,mobileOG_000312638,insH6,WP_007962146.1,integration/excision,NA,Multiple,Homology,CP101719_1_19, 21007 # 21168 # -1 , 21007,21168,-1 ,1_19,1,19,00,ATG,AGGAG,5-10bp,0.648,CP101719_1,mobileOG_000312638_CP101719_1
6,mobileOG_000368388|istA|WP_164255865.1|integration/excision|NA|Plasmid RefSeq|Homology,CP101719_1_35 # 40123 # 40857 # 1 # ID=1_35;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.637,63.0,307.0,344,2.7999999999999997e-82,245,2,244,3,243,mobileOG_000368388,istA,WP_164255865.1,integration/excision,NA,Plasmid RefSeq,Homology,CP101719_1_35, 40123 # 40857 # 1 , 40123,40857,1 ,1_35,1,35,00,ATG,None,None,0.637,CP101719_1,mobileOG_000368388_CP101719_1
7,mobileOG_000277175|tISRso16a|Q5H2C2|integration/excision|NA|ISFinder|Homology,CP101719_1_36 # 40906 # 41169 # 1 # ID=1_36;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.591,95.4,170.6,88,1.1e-41,88,2,88,1,87,mobileOG_000277175,tISRso16a,Q5H2C2,integration/excision,NA,ISFinder,Homology,CP101719_1_36, 40906 # 41169 # 1 , 40906,41169,1 ,1_36,1,36,00,GTG,AGGAG,5-10bp,0.591,CP101719_1,mobileOG_000277175_CP101719_1
8,mobileOG_000277176|NA|A0A346MB22|integration/excision|NA|ISFinder|Homology,CP101719_1_37 # 41163 # 41693 # 1 # ID=1_37;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.663,94.6,300.4,328,1.9000000000000002e-80,177,48,214,1,166,mobileOG_000277176,NA,A0A346MB22,integration/excision,NA,ISFinder,Homology,CP101719_1_37, 41163 # 41693 # 1 , 41163,41693,1 ,1_37,1,37,00,ATG,None,None,0.663,CP101719_1,mobileOG_000277176_CP101719_1
9,mobileOG_000277176|NA|A0A346MB22|integration/excision|NA|ISFinder|Homology,CP101719_1_38 # 41690 # 42007 # 1 # ID=1_38;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.591,93.3,214.5,328,8e-55,106,224,328,1,105,mobileOG_000277176,NA,A0A346MB22,integration/excision,NA,ISFinder,Homology,CP101719_1_38, 41690 # 42007 # 1 , 41690,42007,1 ,1_38,1,38,00,GTG,None,None,0.591,CP101719_1,mobileOG_000277176_CP101719_1
