Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds	Annotation BUSCO Complete 	Annotation BUSCO Single Copy 	Annotation BUSCO Duplicated 	Annotation BUSCO Fragmented 	Annotation BUSCO Missing 	Annotation BUSCO Lineage 	Assembly Sequencing Tech	CheckM completeness	CheckM contamination
GCA_000961215.1	ASM96121v1	Xanthomonas citri pv. citri		MN12					Annotation submitted by Citrus Research and Education center, Univerisity of Florida	Complete Genome	2015-03-24		3							Illumina CLC	99.2	0.37
GCF_000961215.1	ASM96121v1	Xanthomonas citri pv. citri		MN12					GCF_000961215.1-RS_2024_05_05	Complete Genome	2015-03-24		3							Illumina CLC	99.2	0.37
GCA_021474205.1	ASM2147420v1	Xanthomonas citri pv. glycines		ICMP5732					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-01-15		3							Illumina; NanoPore	99.27	2.22
GCF_021474205.1	ASM2147420v1	Xanthomonas citri pv. glycines		ICMP5732					GCF_021474205.1-RS_2024_05_12	Complete Genome	2022-01-15		3							Illumina; NanoPore	99.27	2.22
GCA_000723725.2	ASM72372v2	Xanthomonas citri pv. viticola		LMG 965					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-11-29		2							Oxford Nanopore MinION; Illumina MiSeq	99.48	
GCF_000723725.2	ASM72372v2	Xanthomonas citri pv. viticola		LMG 965					GCF_000723725.2-RS_2024_05_12	Complete Genome	2023-11-29		2							Oxford Nanopore MinION; Illumina MiSeq	99.48	
GCA_002218265.1	ASM221826v1	Xanthomonas citri pv. vignicola		CFBP7112					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-07-13		3							PacBio	99.06	0.59
GCF_002218265.1	ASM221826v1	Xanthomonas citri pv. vignicola		CFBP7112					GCF_002218265.1-RS_2024_05_05	Complete Genome	2017-07-13		3							PacBio	99.06	0.59
GCA_002139955.1	ASM213995v1	Xanthomonas citri pv. citri		TX160149					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-05-15		4							PacBio RSII	98.88	0.54
GCF_002139955.1	ASM213995v1	Xanthomonas citri pv. citri		TX160149					GCF_002139955.1-RS_2024_05_05	Complete Genome	2017-05-15		4							PacBio RSII	98.88	0.54
GCA_002139995.1	ASM213999v1	Xanthomonas citri pv. citri		TX160197					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-05-15		3							PacBio RSII	99.13	0.42
GCF_002139995.1	ASM213999v1	Xanthomonas citri pv. citri		TX160197					GCF_002139995.1-RS_2024_05_05	Complete Genome	2017-05-15		3							PacBio RSII	99.13	0.42
GCA_002139975.1	ASM213997v1	Xanthomonas citri pv. citri		TX160042					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-05-15		3							PacBio RSH	99.13	0.42
GCF_002139975.1	ASM213997v1	Xanthomonas citri pv. citri		TX160042					GCF_002139975.1-RS_2024_05_05	Complete Genome	2017-05-15		3							PacBio RSH	99.13	0.42
GCA_000961435.1	ASM96143v1	Xanthomonas citri pv. citri		AW13					Annotation submitted by Citrus Research and Education center, Univerisity of Florida	Complete Genome	2015-03-24		3							Illumina CLC	98.45	0.5
GCF_000961435.1	ASM96143v1	Xanthomonas citri pv. citri		AW13					GCF_000961435.1-RS_2024_05_05	Complete Genome	2015-03-24		3							Illumina CLC	98.45	0.5
GCA_000961455.1	ASM96145v1	Xanthomonas citri pv. citri		AW14					Annotation submitted by Citrus Research and Education center, Univerisity of Florida	Complete Genome	2015-03-24		3							Illumina CLC	98.45	0.5
GCF_000961455.1	ASM96145v1	Xanthomonas citri pv. citri		AW14					GCF_000961455.1-RS_2024_05_05	Complete Genome	2015-03-24		3							Illumina CLC	98.45	0.5
GCA_000961475.1	ASM96147v1	Xanthomonas citri pv. citri		AW15					Annotation submitted by Citrus Research and Education center, Univerisity of Florida	Complete Genome	2015-03-24		3							Illumina CLC	98.45	0.5
GCF_000961475.1	ASM96147v1	Xanthomonas citri pv. citri		AW15					GCF_000961475.1-RS_2024_05_05	Complete Genome	2015-03-24		3							Illumina CLC	98.45	0.5
GCA_000961495.1	ASM96149v1	Xanthomonas citri pv. citri		AW16					Annotation submitted by Citrus Research and Education center, Univerisity of Florida	Complete Genome	2015-03-24		3							Illumina CLC	98.45	0.5
GCF_000961495.1	ASM96149v1	Xanthomonas citri pv. citri		AW16					GCF_000961495.1-RS_2024_05_05	Complete Genome	2015-03-24		3							Illumina CLC	98.45	0.5
GCA_016801615.1	ASM1680161v1	Xanthomonas citri pv. citri		DAR84832					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-02-02		5							Oxford Nanopore MiniION; Illumina HiSeq	98.56	0.5
GCF_016801615.1	ASM1680161v1	Xanthomonas citri pv. citri		DAR84832					GCF_016801615.1-RS_2024_05_06	Complete Genome	2021-02-02		5							Oxford Nanopore MiniION; Illumina HiSeq	98.56	0.5
GCA_016801655.1	ASM1680165v1	Xanthomonas citri pv. citri		DAR73889					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-02-02		6							Oxford Nanopore MiniION; Illumina HiSeq	99	1.59
GCF_016801655.1	ASM1680165v1	Xanthomonas citri pv. citri		DAR73889					GCF_016801655.1-RS_2024_05_06	Complete Genome	2021-02-02		6							Oxford Nanopore MiniION; Illumina HiSeq	99	1.59
GCA_016801635.1	ASM1680163v1	Xanthomonas citri pv. citri		DAR73886					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-02-02		5							Oxford Nanopore MiniION; Illumina HiSeq	98.56	0.5
GCF_016801635.1	ASM1680163v1	Xanthomonas citri pv. citri		DAR73886					GCF_016801635.1-RS_2024_05_06	Complete Genome	2021-02-02		5							Oxford Nanopore MiniION; Illumina HiSeq	98.56	0.5
GCA_019076985.1	ASM1907698v1	Xanthomonas citri pv. citri		GD82					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-06-30		5							Illumina HiSeq	99.23	1.55
GCF_019076985.1	ASM1907698v1	Xanthomonas citri pv. citri		GD82					GCF_019076985.1-RS_2024_05_06	Complete Genome	2021-06-30		5							Illumina HiSeq	99.23	1.55
GCA_019434335.1	ASM1943433v1	Xanthomonas citri pv. citri		SN3-3					Annotation submitted by Academia Sinica	Complete Genome	2021-08-02		2							Oxford Nanopore;Illumina	98.84	0.5
GCF_019434335.1	ASM1943433v1	Xanthomonas citri pv. citri		SN3-3					GCF_019434335.1-RS_2024_05_06	Complete Genome	2021-08-02		2							Oxford Nanopore;Illumina	98.84	0.5
GCA_016801675.1	ASM1680167v1	Xanthomonas citri pv. citri		DAR72029					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-02-02		7							Oxford Nanopore MiniION; Illumina HiSeq	98.38	1.59
GCF_016801675.1	ASM1680167v1	Xanthomonas citri pv. citri		DAR72029					GCF_016801675.1-RS_2024_05_06	Complete Genome	2021-02-02		7							Oxford Nanopore MiniION; Illumina HiSeq	98.38	1.59
GCA_016801695.1	ASM1680169v1	Xanthomonas citri pv. citri		DAR73909					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-02-02		7							Oxford Nanopore MiniION; Illumina HiSeq	97.2	1.59
GCF_016801695.1	ASM1680169v1	Xanthomonas citri pv. citri		DAR73909					GCF_016801695.1-RS_2024_05_06	Complete Genome	2021-02-02		7							Oxford Nanopore MiniION; Illumina HiSeq	97.2	1.59
GCA_000961195.1	ASM96119v1	Xanthomonas citri pv. citri		NT17					Annotation submitted by Citrus Research and Education center, Univerisity of Florida	Complete Genome	2015-03-24		3							Illumina CLC	98.86	0.37
GCF_000961195.1	ASM96119v1	Xanthomonas citri pv. citri		NT17					GCF_000961195.1-RS_2024_05_05	Complete Genome	2015-03-24		3							Illumina CLC	98.86	0.37
GCA_000961415.1	ASM96141v1	Xanthomonas citri pv. citri		5208					Annotation submitted by Citrus Research and Education center, Univerisity of Florida	Complete Genome	2015-03-24		3							Illumina CLC	98.86	0.37
GCF_000961415.1	ASM96141v1	Xanthomonas citri pv. citri		5208					GCF_000961415.1-RS_2024_05_05	Complete Genome	2015-03-24		3							Illumina CLC	98.86	0.37
GCA_000961275.1	ASM96127v1	Xanthomonas citri pv. citri		mf20					Annotation submitted by Citrus Research and Education center, Univerisity of Florida	Complete Genome	2015-03-24		3							Illumina CLC	98.86	0.37
GCF_000961275.1	ASM96127v1	Xanthomonas citri pv. citri		MF20					GCF_000961275.1-RS_2024_05_05	Complete Genome	2015-03-24		3							Illumina CLC	98.86	0.37
GCA_000961395.1	ASM96139v1	Xanthomonas citri pv. citri		BL18					Annotation submitted by Citrus Research and Education center, Univerisity of Florida	Complete Genome	2015-03-24		3							Illumina CLC	98.86	0.37
GCF_000961395.1	ASM96139v1	Xanthomonas citri pv. citri		BL18					GCF_000961395.1-RS_2024_05_05	Complete Genome	2015-03-24		3							Illumina CLC	98.86	0.37
GCA_000961375.1	ASM96137v1	Xanthomonas citri pv. citri		FB19					Annotation submitted by Citrus Research and Education center, Univerisity of Florida	Complete Genome	2015-03-24		3							Illumina CLC	98.86	0.37
GCF_000961375.1	ASM96137v1	Xanthomonas citri pv. citri		FB19					GCF_000961375.1-RS_2024_05_05	Complete Genome	2015-03-24		3							Illumina CLC	98.86	0.37
GCA_001922065.1	ASM192206v1	Xanthomonas citri pv. citri		LH276					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-12-27		4							PacBio	98.88	1.51
GCF_001922065.1	ASM192206v1	Xanthomonas citri pv. citri		LH276					GCF_001922065.1-RS_2024_05_05	Complete Genome	2016-12-27		4							PacBio	98.88	1.51
GCA_001922045.1	ASM192204v1	Xanthomonas citri pv. citri		LL074-4					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-12-27		3							PacBio	99.04	1.43
GCF_001922045.1	ASM192204v1	Xanthomonas citri pv. citri		LL074-4					GCF_001922045.1-RS_2024_05_05	Complete Genome	2016-12-27		3							PacBio	99.04	1.43
GCA_001922105.1	ASM192210v1	Xanthomonas citri pv. citri		LH201					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-12-27		3							PacBio	98.6	1.43
GCF_001922105.1	ASM192210v1	Xanthomonas citri pv. citri		LH201					GCF_001922105.1-RS_2024_05_05	Complete Genome	2016-12-27		3							PacBio	98.6	1.43
GCA_002952295.1	ASM295229v1	Xanthomonas citri pv. citri		03-1638-1-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-02-06		3							PacBio	98.68	1.43
GCF_002952295.1	ASM295229v1	Xanthomonas citri pv. citri		03-1638-1-1					GCF_002952295.1-RS_2024_05_05	Complete Genome	2018-02-06		3							PacBio	98.68	1.43
GCA_001922085.1	ASM192208v1	Xanthomonas citri pv. citri		LJ207-7					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-12-27		4							PacBio	98.6	1.51
GCF_001922085.1	ASM192208v1	Xanthomonas citri pv. citri		LJ207-7					GCF_001922085.1-RS_2024_05_05	Complete Genome	2016-12-27		4							PacBio	98.6	1.51
GCA_023205075.1	ASM2320507v1	Xanthomonas citri pv. citri		CQ13					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-05-02		3							Illumina NovaSeq; Oxford Nanopore	99.23	0.37
GCF_023205075.1	ASM2320507v1	Xanthomonas citri pv. citri		CQ13					GCF_023205075.1-RS_2024_05_12	Complete Genome	2022-05-02		3							Illumina NovaSeq; Oxford Nanopore	99.23	0.37
GCA_003665475.1	ASM366547v1	Xanthomonas citri pv. citri		Xcc29-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-10-17		4							Illumina HiSeq4000	98.86	0.45
GCF_003665475.1	ASM366547v1	Xanthomonas citri pv. citri		Xcc29-1					GCF_003665475.1-RS_2024_05_06	Complete Genome	2018-10-17		4							Illumina HiSeq4000	98.86	0.45
GCA_000961335.1	ASM96133v1	Xanthomonas citri pv. citri		gd3					Annotation submitted by Citrus Research and Education center, Univerisity of Florida	Complete Genome	2015-03-24		3							Illumina CLC	99.09	0.37
GCF_000961335.1	ASM96133v1	Xanthomonas citri pv. citri		GD3					GCF_000961335.1-RS_2024_05_05	Complete Genome	2015-03-24		3							Illumina CLC	99.09	0.37
GCA_000961355.1	ASM96135v1	Xanthomonas citri pv. citri		gd2					Annotation submitted by Citrus Research and Education center, Univerisity of Florida	Complete Genome	2015-03-24		3							Illumina CLC	99.09	0.37
GCF_000961355.1	ASM96135v1	Xanthomonas citri pv. citri		GD2					GCF_000961355.1-RS_2024_05_05	Complete Genome	2015-03-24		3							Illumina CLC	99.09	0.37
GCA_003665455.1	ASM366545v1	Xanthomonas citri pv. citri		Xcc49					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-10-17		3							Illumina HiSeq4000	98.86	0.37
GCF_003665455.1	ASM366545v1	Xanthomonas citri pv. citri		Xcc49					GCF_003665455.1-RS_2024_05_06	Complete Genome	2018-10-17		3							Illumina HiSeq4000	98.86	0.37
GCA_000961255.1	ASM96125v1	Xanthomonas citri pv. citri		MN10					Annotation submitted by Citrus Research and Education center, Univerisity of Florida	Complete Genome	2015-03-24		3							Illumina CLC	98.95	0.37
GCF_000961255.1	ASM96125v1	Xanthomonas citri pv. citri		MN10					GCF_000961255.1-RS_2024_05_05	Complete Genome	2015-03-24		3							Illumina CLC	98.95	0.37
GCA_000961295.1	ASM96129v1	Xanthomonas citri pv. citri		jx5					Annotation submitted by Citrus Research and Education center, Univerisity of Florida	Complete Genome	2015-03-24		3							Illumina CLC	99.1	0.37
GCF_000961295.1	ASM96129v1	Xanthomonas citri pv. citri		JX5					GCF_000961295.1-RS_2024_05_05	Complete Genome	2015-03-24		3							Illumina CLC	99.1	0.37
GCA_000961315.1	ASM96131v1	Xanthomonas citri pv. citri		jx4					Annotation submitted by Citrus Research and Education center, Univerisity of Florida	Complete Genome	2015-03-24		3							Illumina CLC	99.48	0.37
GCF_000961315.1	ASM96131v1	Xanthomonas citri pv. citri		JX4					GCF_000961315.1-RS_2024_05_05	Complete Genome	2015-03-24		3							Illumina CLC	99.48	0.37
GCA_001028285.3	ASM102828v3	Xanthomonas citri pv. citri		jx-6					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-03-25		3							Illumina Miseq	98.71	0.37
GCF_001028285.3	ASM102828v3	Xanthomonas citri pv. citri		jx-6					GCF_001028285.3-RS_2024_05_05	Complete Genome	2016-03-25		3							Illumina Miseq	98.71	0.37
GCA_000961155.1	ASM96115v1	Xanthomonas citri pv. citri		UI7					Annotation submitted by Citrus Research and Education center, Univerisity of Florida	Complete Genome	2015-03-24		3							Illumina CLC	99.19	0.37
GCF_000961155.1	ASM96115v1	Xanthomonas citri pv. citri		UI7					GCF_000961155.1-RS_2024_05_05	Complete Genome	2015-03-24		3							Illumina CLC	99.19	0.37
GCA_000961235.1	ASM96123v1	Xanthomonas citri pv. citri		MN11					Annotation submitted by Citrus Research and Education center, Univerisity of Florida	Complete Genome	2015-03-24		3							Illumina CLC	98.95	0.37
GCF_000961235.1	ASM96123v1	Xanthomonas citri pv. citri		MN11					GCF_000961235.1-RS_2024_05_05	Complete Genome	2015-03-24		3							Illumina CLC	98.95	0.37
GCA_019434315.1	ASM1943431v1	Xanthomonas citri pv. citri		B2					Annotation submitted by Academia Sinica	Complete Genome	2021-08-02		3							Oxford Nanopore;Illumina	99.35	0.37
GCF_019434315.1	ASM1943431v1	Xanthomonas citri pv. citri		B2					GCF_019434315.1-RS_2024_05_06	Complete Genome	2021-08-02		3							Oxford Nanopore;Illumina	99.35	0.37
GCA_017723895.1	ASM1772389v1	Xanthomonas citri pv. glycines		CFBP7119					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-04-03		3							PacBio RSII; Illumina HiSeq	99.6	0.83
GCF_017723895.1	ASM1772389v1	Xanthomonas citri pv. glycines		CFBP7119					GCF_017723895.1-RS_2024_05_12	Complete Genome	2021-04-03		3							PacBio RSII; Illumina HiSeq	99.6	0.83
GCA_030582195.1	ASM3058219v1	Xanthomonas citri pv. glycines		T8					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-08-02		2							PacBio HIFI	99.6	0.46
GCF_030582195.1	ASM3058219v1	Xanthomonas citri pv. glycines		T8					GCF_030582195.1-RS_2024_05_12	Complete Genome	2023-08-02		2							PacBio HIFI	99.6	0.46
GCA_007567665.1	ASM756766v1	Xanthomonas citri pv. glycines		8ra					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-07-29		2							PacBio RSII	99.35	0.71
GCF_007567665.1	ASM756766v1	Xanthomonas citri pv. glycines		8ra					GCF_007567665.1-RS_2024_05_06	Complete Genome	2019-07-29		2							PacBio RSII	99.35	0.71
GCA_008593565.1	ASM859356v1	Xanthomonas citri pv. glycines		EB08					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-09-19		3							PacBio	99.6	0.74
GCF_008593565.1	ASM859356v1	Xanthomonas citri pv. glycines		EB08					GCF_008593565.1-RS_2024_05_06	Complete Genome	2019-09-19		3							PacBio	99.6	0.74
GCA_007724385.1	ASM772438v1	Xanthomonas citri pv. glycines		K2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-07-31		2							PacBio RSII	99.02	0.71
GCF_007724385.1	ASM772438v1	Xanthomonas citri pv. glycines		K2					GCF_007724385.1-RS_2024_05_06	Complete Genome	2019-07-31		2							PacBio RSII	99.02	0.71
GCA_007724025.1	ASM772402v1	Xanthomonas citri pv. glycines		1157					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-07-31		2							PacBio RSII	99.6	0.77
GCF_007724025.1	ASM772402v1	Xanthomonas citri pv. glycines		1157					GCF_007724025.1-RS_2024_05_06	Complete Genome	2019-07-31		2							PacBio RSII	99.6	0.77
GCA_030582375.1	ASM3058237v1	Xanthomonas citri pv. glycines		B1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-08-02		2							PacBio HIFI	99.6	0.46
GCF_030582375.1	ASM3058237v1	Xanthomonas citri pv. glycines		B1					GCF_030582375.1-RS_2024_05_12	Complete Genome	2023-08-02		2							PacBio HIFI	99.6	0.46
GCA_007723825.1	ASM772382v1	Xanthomonas citri pv. glycines		1018					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-07-31		2							PacBio RSII	99.6	0.46
GCF_007723825.1	ASM772382v1	Xanthomonas citri pv. glycines		1018					GCF_007723825.1-RS_2024_05_06	Complete Genome	2019-07-31		2							PacBio RSII	99.6	0.46
GCA_027186325.1	ASM2718632v1	Xanthomonas citri pv. malvacearum		CFBP 2036					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-12-21		3							Oxford Nanopore GridION	97.39	0.5
