Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds	Annotation BUSCO Complete 	Annotation BUSCO Single Copy 	Annotation BUSCO Duplicated 	Annotation BUSCO Fragmented 	Annotation BUSCO Missing 	Annotation BUSCO Lineage 	Assembly Sequencing Tech	Assembly BioSample Accession	CheckM completeness	CheckM contamination
GCA_017724035.1	ASM1772403v1	Xanthomonas euvesicatoria pv. alfalfae		CFBP3836					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-04-03		2							PacBio RSII; Illumina HiSeq	SAMN18397070	99.84	0.03
GCF_017724035.1	ASM1772403v1	Xanthomonas euvesicatoria pv. alfalfae		CFBP3836					GCF_017724035.1-RS_2024_05_06	Complete Genome	2021-04-03		2							PacBio RSII; Illumina HiSeq	SAMN18397070	99.84	0.03
GCA_040529065.1	ASM4052906v1	Xanthomonas sacchari		CFBP4641					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-07-06		1							PacBio Sequel	SAMN36908996	96.77	4.07
GCF_040529065.1	ASM4052906v1	Xanthomonas sacchari		CFBP4641					GCF_040529065.1-RS_2024_07_06	Complete Genome	2024-07-07		1							PacBio Sequel	SAMN36908996	96.77	4.07
GCA_900183975.1	PD885.1	Xanthomonas fragariae		PD885					Annotation submitted by JLU	Complete Genome	2017-05-25		3								SAMEA104068692	97.69	0.25
GCF_900183975.1	PD885.1	Xanthomonas fragariae		PD885					GCF_900183975.1-RS_2024_05_05	Complete Genome	2017-05-25		3								SAMEA104068692	97.69	0.25
GCA_009769165.1	ASM976916v1	Xanthomonas hyacinthi		CFBP 1156					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-12-19		2							PacBio	SAMN12660098	95.8	3.35
GCF_009769165.1	ASM976916v1	Xanthomonas hyacinthi		CFBP 1156					GCF_009769165.1-RS_2024_05_06	Complete Genome	2019-12-19		2							PacBio	SAMN12660098	95.8	3.35
GCA_001908725.1	ASM190872v1	Xanthomonas vesicatoria ATCC 35937		LMG911					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-12-19		3							PacBio	SAMN05823154	99.28	1.63
GCF_001908725.1	ASM190872v1	Xanthomonas vesicatoria ATCC 35937		LMG911					GCF_001908725.1-RS_2024_05_05	Complete Genome	2016-12-19		3							PacBio	SAMN05823154	99.28	1.63
GCA_040529055.1	ASM4052905v1	Xanthomonas sontii		PPL1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-07-06		1							PacBio Sequel	SAMN36908960	96.93	4.01
GCF_040529055.1	ASM4052905v1	Xanthomonas sontii		PPL1					GCF_040529055.1-RS_2024_07_06	Complete Genome	2024-07-07		1							PacBio Sequel	SAMN36908960	96.93	4.01
GCA_014236795.1	ASM1423679v1	Xanthomonas theicola		CFBP 4691					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-08-18		2							PacBio Sequel	SAMN14114378	93.03	3.17
GCF_014236795.1	ASM1423679v1	Xanthomonas theicola		CFBP 4691					GCF_014236795.1-RS_2024_05_05	Complete Genome	2020-08-18		2							PacBio Sequel	SAMN14114378	93.03	3.17
GCA_033170385.1	ASM3317038v1	Xanthomonas rydalmerensis		DAR34855					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-11-01		1							Oxford Nanopore PromethION	SAMN35004907	96.43	3.32
GCF_033170385.1	ASM3317038v1	Xanthomonas rydalmerensis		DAR34855					GCF_033170385.1-RS_2024_05_12	Complete Genome	2023-11-01		1							Oxford Nanopore PromethION	SAMN35004907	96.43	3.32
GCA_031834635.1	ASM3183463v1	Xanthomonas hawaiiensis		A6251					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-09-22		1							Illumina; Oxford Nanopore	SAMN32473999	96.82	3.6
GCF_031834635.1	ASM3183463v1	Xanthomonas hawaiiensis		A6251					GCF_031834635.1-RS_2024_05_12	Complete Genome	2023-09-22		1							Illumina; Oxford Nanopore	SAMN32473999	96.82	3.6
GCA_040529045.1	ASM4052904v1	Xanthomonas indica		PPL560					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-07-06		1							PacBio Sequel	SAMN36780232	97.24	3.48
GCF_040529045.1	ASM4052904v1	Xanthomonas indica		PPL560					GCF_040529045.1-RS_2024_07_06	Complete Genome	2024-07-07		1							PacBio Sequel	SAMN36780232	97.24	3.48
