Contig,Start,Stop,Score,Threhold
CP073820_1,1,5000,0.177,11.966
CP073820_1,27500,35000,0.211,11.966
CP073820_1,55000,70000,0.137,11.966
CP073820_1,80000,87500,0.194,11.966
CP073820_1,112500,122500,0.201,11.966
CP073820_1,132500,142500,0.372,11.966
CP073820_1,192500,200000,0.144,11.966
CP073820_1,222500,227500,0.149,11.966
CP073820_1,265000,272500,0.15,11.966
CP073820_1,315000,325000,0.163,11.966
CP073820_1,337500,345000,0.189,11.966
CP073820_1,400000,407500,0.155,11.966
CP073820_1,417500,422500,0.132,11.966
CP073820_1,557500,575000,0.181,11.966
CP073820_1,595000,602500,0.187,11.966
CP073820_1,650000,655000,0.131,11.966
CP073820_1,675000,680000,0.135,11.966
CP073820_1,715000,727500,0.145,11.966
CP073820_1,742500,747500,0.133,11.966
CP073820_1,755000,762500,0.14,11.966
CP073820_1,835000,840000,0.142,11.966
CP073820_1,910000,922500,0.246,11.966
CP073820_1,977500,982500,0.135,11.966
CP073820_1,985000,995000,0.243,11.966
CP073820_1,1065000,1070000,0.133,11.966
CP073820_1,1235000,1280000,0.18,11.966
CP073820_1,1325000,1337500,0.215,11.966
CP073820_1,1340000,1357500,0.255,11.966
CP073820_1,1372500,1380000,0.144,11.966
CP073820_1,1387500,1405000,0.147,11.966
CP073820_1,1472500,1495000,0.245,11.966
CP073820_1,1542500,1547500,0.161,11.966
CP073820_1,1552500,1590000,0.227,11.966
CP073820_1,1600000,1607500,0.19,11.966
CP073820_1,1617500,1622500,0.122,11.966
CP073820_1,1625000,1635000,0.176,11.966
CP073820_1,1642500,1655000,0.171,11.966
CP073820_1,1725000,1732500,0.156,11.966
CP073820_1,1812500,1822500,0.15,11.966
CP073820_1,1825000,1837500,0.132,11.966
CP073820_1,1852500,1870000,0.163,11.966
CP073820_1,1872500,1882500,0.271,11.966
CP073820_1,1970000,1977500,0.212,11.966
CP073820_1,2027500,2035000,0.15,11.966
CP073820_1,2080000,2087500,0.163,11.966
CP073820_1,2095000,2100000,0.136,11.966
CP073820_1,2135000,2140000,0.123,11.966
CP073820_1,2170000,2177500,0.124,11.966
CP073820_1,2202500,2215000,0.221,11.966
CP073820_1,2225000,2232500,0.128,11.966
CP073820_1,2280000,2300000,0.145,11.966
CP073820_1,2302500,2310000,0.146,11.966
CP073820_1,2347500,2392500,0.205,11.966
CP073820_1,2447500,2452500,0.12,11.966
CP073820_1,2527500,2532500,0.161,11.966
CP073820_1,2537500,2545000,0.151,11.966
CP073820_1,2605000,2610000,0.137,11.966
CP073820_1,2617500,2622500,0.197,11.966
CP073820_1,2657500,2692500,0.272,11.966
CP073820_1,2705000,2710000,0.123,11.966
CP073820_1,2832500,2840000,0.148,11.966
CP073820_1,2867500,2872500,0.139,11.966
CP073820_1,2917500,2922500,0.122,11.966
CP073820_1,2980000,2987500,0.152,11.966
CP073820_1,3010000,3015000,0.154,11.966
CP073820_1,3020000,3027500,0.161,11.966
CP073820_1,3047500,3062500,0.293,11.966
CP073820_1,3085000,3090000,0.139,11.966
CP073820_1,3132500,3137500,0.128,11.966
CP073820_1,3167500,3172500,0.191,11.966
CP073820_1,3175000,3182500,0.129,11.966
CP073820_1,3200000,3207500,0.152,11.966
CP073820_1,3275000,3287500,0.124,11.966
CP073820_1,3297500,3305000,0.157,11.966
CP073820_1,3312500,3330000,0.283,11.966
CP073820_1,3335000,3345000,0.234,11.966
CP073820_1,3350000,3372500,0.219,11.966
CP073820_1,3382500,3387500,0.133,11.966
CP073820_1,3390000,3397500,0.141,11.966
CP073820_1,3475000,3480000,0.145,11.966
CP073820_1,3500000,3505000,0.156,11.966
CP073820_1,3507500,3515000,0.152,11.966
CP073820_1,3582500,3590000,0.191,11.966
CP073820_1,3612500,3622500,0.161,11.966
CP073820_1,3630000,3642500,0.188,11.966
CP073820_1,3660000,3672500,0.29,11.966
CP073820_1,3725000,3742500,0.544,11.966
CP073820_1,3887500,3912500,0.198,11.966
CP073820_1,3937500,3945000,0.146,11.966
CP073820_1,4065000,4072500,0.144,11.966
CP073820_1,4092500,4100000,0.131,11.966
CP073820_1,4102500,4107500,0.139,11.966
CP073820_1,4110000,4125000,0.152,11.966
CP073820_1,4175000,4182500,0.138,11.966
CP073820_1,4197500,4202500,0.15,11.966
CP073820_1,4210000,4220000,0.126,11.966
CP073820_1,4232500,4237500,0.147,11.966
CP073820_1,4287500,4292500,0.12,11.966
CP073820_1,4305000,4310000,0.145,11.966
CP073820_1,4325000,4337500,0.231,11.966
CP073820_1,4377500,4385000,0.145,11.966
CP073820_1,4387500,4392500,0.127,11.966
CP073820_1,4397500,4402500,0.17,11.966
CP073820_1,4415000,4432500,0.421,11.966
CP073820_1,4472500,4480000,0.14,11.966
CP073820_1,4577500,4610000,0.332,11.966
CP073820_1,4620000,4627500,0.174,11.966
CP073820_1,4642500,4655000,0.438,11.966
CP073820_1,4685000,4692500,0.218,11.966
CP073820_1,4760000,4765000,0.124,11.966
CP073820_1,4807500,4812500,0.143,11.966
CP073820_1,4850000,4855000,0.22,11.966
CP073820_1,4865000,4880000,0.377,11.966
CP073820_1,4885000,4892500,0.143,11.966
CP073820_1,4995000,5007500,0.179,11.966
