,Sequence Title,Query Title,Pident,Bitscore,Subject Sequence Length,e-value,Query Sequence Length,Start of Alignment in Subject,End of Alignment in Query,Start of Alignment in Query,End of Alignment in Query,mobileOG ID,Gene Name,Best Hit Accession ID,Major mobileOG Category,Minor mobileOG Category,Source Database,Evidence Type,Contig/ORF Name,ORF_Start_Stop_Strands,ORF_Start,ORF_End,Sense or Antisense Strand,Prodigal ID,Prodigal Designated Contigs,Unique_ORF,Partial Tag,Start Codon,RBS Motif,RBS Spacer,GC Content,Specific Contig,Final Sample Name
0,mobileOG_000359877|stdB|WP_075244570.1|stability/transfer/defense|NA|Plasmid RefSeq|Homology,CP019227_7 # 3638 # 4345 # -1 # ID=1_7;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.564,100.0,452.6,235,3.9000000000000005e-126,236,1,235,1,235,mobileOG_000359877,stdB,WP_075244570.1,stability/transfer/defense,NA,Plasmid RefSeq,Homology,CP019227_7, 3638 # 4345 # -1 , 3638,4345,-1 ,1_7,1,7,00,ATG,AGGAG,5-10bp,0.564,CP019227,mobileOG_000359877_CP019227
1,mobileOG_000732148|NA:Keyword|WP_162071026.1|transfer|NA|Multiple|Keyword Search,CP019227_8 # 4342 # 4788 # -1 # ID=1_8;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.546,68.4,183.7,156,2.1e-45,149,1,156,1,148,mobileOG_000732148,NA:Keyword,WP_162071026.1,transfer,NA,Multiple,Keyword Search,CP019227_8, 4342 # 4788 # -1 , 4342,4788,-1 ,1_8,1,8,00,ATG,AGGA,5-10bp,0.546,CP019227,mobileOG_000732148_CP019227
2,mobileOG_000747361|NA:Keyword|WP_088370906.1|transfer|NA|Multiple|Keyword Search,CP019227_9 # 5138 # 5533 # 1 # ID=1_9;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.609,87.0,227.3,131,1.5e-58,132,1,131,1,131,mobileOG_000747361,NA:Keyword,WP_088370906.1,transfer,NA,Multiple,Keyword Search,CP019227_9, 5138 # 5533 # 1 , 5138,5533,1 ,1_9,1,9,00,ATG,GGA/GAG/AGG,5-10bp,0.609,CP019227,mobileOG_000747361_CP019227
3,mobileOG_000731550|NA:Keyword|A0A514C929|transfer|NA|Plasmid RefSeq|Keyword Search,CP019227_11 # 5710 # 7284 # 1 # ID=1_11;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.608,66.0,716.5,516,3.2e-205,525,1,512,1,523,mobileOG_000731550,NA:Keyword,A0A514C929,transfer,NA,Plasmid RefSeq,Keyword Search,CP019227_11, 5710 # 7284 # 1 , 5710,7284,1 ,1_11,1,11,00,ATG,GGAG/GAGG,5-10bp,0.608,CP019227,mobileOG_000731550_CP019227
4,mobileOG_000330974|traI|WP_075244571.1|transfer|conjugation|Plasmid RefSeq|Homology,CP019227_12 # 7298 # 10273 # 1 # ID=1_12;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.644,100.0,1878.6,991,0.0,992,1,991,1,991,mobileOG_000330974,traI,WP_075244571.1,transfer,conjugation,Plasmid RefSeq,Homology,CP019227_12, 7298 # 10273 # 1 , 7298,10273,1 ,1_12,1,12,00,ATG,GGAG/GAGG,5-10bp,0.644,CP019227,mobileOG_000330974_CP019227
5,mobileOG_000742294|NA:Keyword|WP_033483305.1|stability/transfer/defense|NA|Plasmid RefSeq|Keyword Search,CP019227_13 # 10342 # 10665 # -1 # ID=1_13;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.593,99.1,209.9,107,1.9999999999999998e-53,108,1,107,1,107,mobileOG_000742294,NA:Keyword,WP_033483305.1,stability/transfer/defense,NA,Plasmid RefSeq,Keyword Search,CP019227_13, 10342 # 10665 # -1 , 10342,10665,-1 ,1_13,1,13,00,ATG,GGA/GAG/AGG,5-10bp,0.593,CP019227,mobileOG_000742294_CP019227
6,mobileOG_000403900|NA:Keyword|WP_033478260.1|stability/transfer/defense|NA|COMPASS|Keyword Search,CP019227_14 # 10665 # 10883 # -1 # ID=1_14;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.621,98.6,150.6,72,9.800000000000001e-36,73,1,72,1,72,mobileOG_000403900,NA:Keyword,WP_033478260.1,stability/transfer/defense,NA,COMPASS,Keyword Search,CP019227_14, 10665 # 10883 # -1 , 10665,10883,-1 ,1_14,1,14,00,ATG,GGAG/GAGG,5-10bp,0.621,CP019227,mobileOG_000403900_CP019227
7,mobileOG_000321306|virB|WP_075244574.1|transfer|conjugation|Plasmid RefSeq|Homology,CP019227_17 # 12028 # 12930 # -1 # ID=1_17;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.652,100.0,561.2,292,9.9e-159,301,1,292,9,300,mobileOG_000321306,virB,WP_075244574.1,transfer,conjugation,Plasmid RefSeq,Homology,CP019227_17, 12028 # 12930 # -1 , 12028,12930,-1 ,1_17,1,17,00,ATG,GGAG/GAGG,5-10bp,0.652,CP019227,mobileOG_000321306_CP019227
8,mobileOG_000326628|virB11|WP_075244575.1|transfer|conjugation|Plasmid RefSeq|Homology,CP019227_18 # 12917 # 13939 # -1 # ID=1_18;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.574,100.0,678.3,340,6.3e-194,341,1,340,1,340,mobileOG_000326628,virB11,WP_075244575.1,transfer,conjugation,Plasmid RefSeq,Homology,CP019227_18, 12917 # 13939 # -1 , 12917,13939,-1 ,1_18,1,18,00,ATG,GGAG/GAGG,5-10bp,0.574,CP019227,mobileOG_000326628_CP019227
9,mobileOG_000314446|virB10|WP_075244576.1|transfer|conjugation|Plasmid RefSeq|Homology,CP019227_19 # 13950 # 15170 # -1 # ID=1_19;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.634,100.0,684.1,406,1.4e-195,407,1,406,1,406,mobileOG_000314446,virB10,WP_075244576.1,transfer,conjugation,Plasmid RefSeq,Homology,CP019227_19, 13950 # 15170 # -1 , 13950,15170,-1 ,1_19,1,19,00,ATG,GGxGG,5-10bp,0.634,CP019227,mobileOG_000314446_CP019227
10,mobileOG_000756255|NA:Keyword|WP_075244577.1|transfer|NA|Multiple|Keyword Search,CP019227_20 # 15172 # 15954 # -1 # ID=1_20;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.579,100.0,518.1,260,8.4e-146,261,1,260,1,260,mobileOG_000756255,NA:Keyword,WP_075244577.1,transfer,NA,Multiple,Keyword Search,CP019227_20, 15172 # 15954 # -1 , 15172,15954,-1 ,1_20,1,20,00,ATG,GGA/GAG/AGG,5-10bp,0.579,CP019227,mobileOG_000756255_CP019227
11,mobileOG_000749482|NA:Keyword|WP_047340364.1|transfer|NA|Multiple|Keyword Search,CP019227_21 # 15979 # 16653 # -1 # ID=1_21;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.588,100.0,455.3,224,5.7e-127,225,1,224,1,224,mobileOG_000749482,NA:Keyword,WP_047340364.1,transfer,NA,Multiple,Keyword Search,CP019227_21, 15979 # 16653 # -1 , 15979,16653,-1 ,1_21,1,21,00,ATG,GGA/GAG/AGG,5-10bp,0.588,CP019227,mobileOG_000749482_CP019227
