Contig,Start,Stop,Score,Threhold
CP080589,1,7500,0.178,13.029
CP080589,22500,27500,0.221,13.029
CP080589,40000,47500,0.16,13.029
CP080589,60000,65000,0.146,13.029
CP080589,72500,80000,0.168,13.029
CP080589,167500,175000,0.18,13.029
CP080589,190000,195000,0.158,13.029
CP080589,197500,205000,0.15,13.029
CP080589,215000,222500,0.187,13.029
CP080589,247500,262500,0.204,13.029
CP080589,272500,282500,0.199,13.029
CP080589,305000,342500,0.305,13.029
CP080589,425000,430000,0.167,13.029
CP080589,445000,452500,0.243,13.029
CP080589,477500,482500,0.145,13.029
CP080589,492500,497500,0.183,13.029
CP080589,515000,530000,0.163,13.029
CP080589,575000,582500,0.167,13.029
CP080589,607500,612500,0.163,13.029
CP080589,617500,650000,0.296,13.029
CP080589,662500,670000,0.146,13.029
CP080589,760000,767500,0.16,13.029
CP080589,775000,780000,0.133,13.029
CP080589,785000,790000,0.173,13.029
CP080589,812500,835000,0.328,13.029
CP080589,852500,857500,0.168,13.029
CP080589,882500,890000,0.185,13.029
CP080589,920000,935000,0.15,13.029
CP080589,1000000,1005000,0.209,13.029
CP080589,1072500,1077500,0.145,13.029
CP080589,1155000,1160000,0.135,13.029
CP080589,1167500,1175000,0.152,13.029
CP080589,1180000,1205000,0.357,13.029
CP080589,1257500,1262500,0.156,13.029
CP080589,1267500,1285000,0.302,13.029
CP080589,1345000,1350000,0.163,13.029
CP080589,1380000,1385000,0.144,13.029
CP080589,1430000,1435000,0.161,13.029
CP080589,1437500,1445000,0.153,13.029
CP080589,1455000,1462500,0.162,13.029
CP080589,1470000,1477500,0.332,13.029
CP080589,1485000,1490000,0.143,13.029
CP080589,1500000,1507500,0.165,13.029
CP080589,1510000,1517500,0.166,13.029
CP080589,1537500,1545000,0.175,13.029
CP080589,1570000,1575000,0.15,13.029
CP080589,1665000,1680000,0.179,13.029
CP080589,1737500,1742500,0.159,13.029
CP080589,1810000,1817500,0.194,13.029
CP080589,1822500,1827500,0.134,13.029
CP080589,1832500,1857500,0.256,13.029
CP080589,1880000,1937500,0.409,13.029
CP080589,2072500,2077500,0.135,13.029
CP080589,2102500,2125000,0.248,13.029
CP080589,2157500,2167500,0.358,13.029
CP080589,2175000,2182500,0.231,13.029
CP080589,2212500,2227500,0.194,13.029
CP080589,2235000,2240000,0.166,13.029
CP080589,2257500,2270000,0.206,13.029
CP080589,2280000,2287500,0.313,13.029
CP080589,2297500,2302500,0.131,13.029
CP080589,2307500,2315000,0.204,13.029
CP080589,2325000,2345000,0.187,13.029
CP080589,2352500,2372500,0.222,13.029
CP080589,2377500,2382500,0.149,13.029
CP080589,2402500,2407500,0.145,13.029
CP080589,2422500,2437500,0.167,13.029
CP080589,2467500,2475000,0.14,13.029
CP080589,2480000,2485000,0.225,13.029
CP080589,2487500,2500000,0.153,13.029
CP080589,2525000,2540000,0.236,13.029
CP080589,2560000,2572500,0.205,13.029
CP080589,2577500,2585000,0.146,13.029
CP080589,2662500,2667500,0.195,13.029
CP080589,2782500,2807500,0.236,13.029
CP080589,2845000,2860000,0.282,13.029
CP080589,2862500,2867500,0.145,13.029
CP080589,2882500,2890000,0.226,13.029
CP080589,2920000,2925000,0.155,13.029
CP080589,2947500,2955000,0.139,13.029
CP080589,2965000,2970000,0.136,13.029
CP080589,3017500,3027500,0.182,13.029
CP080589,3040000,3047500,0.134,13.029
CP080589,3140000,3152500,0.21,13.029
CP080589,3167500,3172500,0.155,13.029
CP080589,3175000,3190000,0.24,13.029
CP080589,3200000,3205000,0.133,13.029
CP080589,3215000,3222500,0.195,13.029
CP080589,3307500,3340000,0.274,13.029
CP080589,3345000,3367500,0.277,13.029
CP080589,3422500,3427500,0.137,13.029
CP080589,3487500,3500000,0.263,13.029
CP080589,3505000,3522500,0.227,13.029
CP080589,3527500,3547500,0.267,13.029
CP080589,3552500,3560000,0.227,13.029
CP080589,3605000,3622500,0.238,13.029
CP080589,3642500,3655000,0.21,13.029
CP080589,3657500,3662500,0.133,13.029
CP080589,3677500,3682500,0.143,13.029
CP080589,3695000,3700000,0.136,13.029
CP080589,3707500,3712500,0.142,13.029
CP080589,3732500,3747500,0.167,13.029
CP080589,3792500,3797500,0.152,13.029
CP080589,3810000,3850000,0.225,13.029
CP080589,3972500,3977500,0.151,13.029
CP080589,3990000,3997500,0.154,13.029
CP080589,4007500,4015000,0.173,13.029
CP080589,4052500,4057500,0.151,13.029
CP080589,4125000,4135000,0.321,13.029
CP080589,4197500,4205000,0.136,13.029
CP080589,4245000,4250000,0.14,13.029
CP080589,4292500,4297500,0.151,13.029
CP080589,4325000,4337500,0.599,13.029
CP080589,4340000,4345000,0.137,13.029
CP080589,4367500,4372500,0.134,13.029
CP080589,4380000,4402500,0.273,13.029
CP080589,4410000,4417500,0.197,13.029
CP080589,4555000,4562500,0.249,13.029
CP080589,4622500,4650000,0.429,13.029
CP080589,4690000,4697500,0.191,13.029
CP080589,4762500,4772500,0.203,13.029
