,Sequence Title,Query Title,Pident,Bitscore,Subject Sequence Length,e-value,Query Sequence Length,Start of Alignment in Subject,End of Alignment in Query,Start of Alignment in Query,End of Alignment in Query,mobileOG ID,Gene Name,Best Hit Accession ID,Major mobileOG Category,Minor mobileOG Category,Source Database,Evidence Type,Contig/ORF Name,ORF_Start_Stop_Strands,ORF_Start,ORF_End,Sense or Antisense Strand,Prodigal ID,Prodigal Designated Contigs,Unique_ORF,Partial Tag,Start Codon,RBS Motif,RBS Spacer,GC Content,Specific Contig,Final Sample Name
0,mobileOG_000026103|gyrB|P0AES6|replication/recombination/repair|NA|Multiple|Manual,CP143562_4 # 5048 # 7492 # 1 # ID=1_4;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.643,61.6,973.4,804,2.3000000000000003e-282,815,2,804,12,814,mobileOG_000026103,gyrB,P0AES6,replication/recombination/repair,NA,Multiple,Manual,CP143562_4, 5048 # 7492 # 1 , 5048,7492,1 ,1_4,1,4,00,ATG,None,None,0.643,CP143562,mobileOG_000026103_CP143562
1,mobileOG_000725735|NA:Keyword|A0A0C5V5L1|integration/excision|NA|ISFinder|Keyword Search,CP143562_15 # 17003 # 17959 # 1 # ID=1_15;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.625,98.7,604.0,318,1.3999999999999999e-171,319,1,318,1,318,mobileOG_000725735,NA:Keyword,A0A0C5V5L1,integration/excision,NA,ISFinder,Keyword Search,CP143562_15, 17003 # 17959 # 1 , 17003,17959,1 ,1_15,1,15,00,ATG,GGAG/GAGG,5-10bp,0.625,CP143562,mobileOG_000725735_CP143562
2,mobileOG_000726767|NA:Keyword|Q5GY58|integration/excision|NA|ISFinder|Keyword Search,CP143562_16 # 18497 # 19231 # 1 # ID=1_16;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.630,98.4,488.4,332,6.7e-137,245,89,332,1,244,mobileOG_000726767,NA:Keyword,Q5GY58,integration/excision,NA,ISFinder,Keyword Search,CP143562_16, 18497 # 19231 # 1 , 18497,19231,1 ,1_16,1,16,00,ATG,None,None,0.630,CP143562,mobileOG_000726767_CP143562
3,mobileOG_000726772|NA:Keyword|A0A0K0GNE0|integration/excision|NA|ISFinder|Keyword Search,CP143562_32 # 38566 # 38664 # 1 # ID=1_32;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.697,100.0,70.1,491,7.6e-12,33,1,32,1,32,mobileOG_000726772,NA:Keyword,A0A0K0GNE0,integration/excision,NA,ISFinder,Keyword Search,CP143562_32, 38566 # 38664 # 1 , 38566,38664,1 ,1_32,1,32,00,ATG,GGAG/GAGG,5-10bp,0.697,CP143562,mobileOG_000726772_CP143562
4,mobileOG_000726772|NA:Keyword|A0A0K0GNE0|integration/excision|NA|ISFinder|Keyword Search,CP143562_33 # 38815 # 40041 # 1 # ID=1_33;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.642,97.5,783.1,491,2.2e-225,409,84,491,1,408,mobileOG_000726772,NA:Keyword,A0A0K0GNE0,integration/excision,NA,ISFinder,Keyword Search,CP143562_33, 38815 # 40041 # 1 , 38815,40041,1 ,1_33,1,33,00,ATG,None,None,0.642,CP143562,mobileOG_000726772_CP143562
5,mobileOG_000757700|NA:Keyword|A0A088FNY4|integration/excision|NA|Plasmid RefSeq|Keyword Search,CP143562_34 # 40180 # 40602 # 1 # ID=1_34;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.660,96.0,256.5,458,2.5000000000000003e-67,141,1,125,1,125,mobileOG_000757700,NA:Keyword,A0A088FNY4,integration/excision,NA,Plasmid RefSeq,Keyword Search,CP143562_34, 40180 # 40602 # 1 , 40180,40602,1 ,1_34,1,34,00,ATG,None,None,0.660,CP143562,mobileOG_000757700_CP143562
6,mobileOG_000726771|NA:Keyword|Q5H6E5|integration/excision|NA|ISFinder|Keyword Search,CP143562_35 # 40599 # 41075 # 1 # ID=1_35;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.637,95.6,314.3,458,1.1e-84,159,301,458,1,158,mobileOG_000726771,NA:Keyword,Q5H6E5,integration/excision,NA,ISFinder,Keyword Search,CP143562_35, 40599 # 41075 # 1 , 40599,41075,1 ,1_35,1,35,00,GTG,GGA/GAG/AGG,11-12bp,0.637,CP143562,mobileOG_000726771_CP143562
7,mobileOG_000726762|NA:Keyword|Q5H569|integration/excision|NA|ISFinder|Keyword Search,CP143562_37 # 42341 # 43018 # 1 # ID=1_37;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.611,98.0,397.9,439,1.1e-109,226,1,201,22,222,mobileOG_000726762,NA:Keyword,Q5H569,integration/excision,NA,ISFinder,Keyword Search,CP143562_37, 42341 # 43018 # 1 , 42341,43018,1 ,1_37,1,37,00,ATG,None,None,0.611,CP143562,mobileOG_000726762_CP143562
8,mobileOG_000277174|insH6|A0A0C5V4U8|integration/excision|NA|ISFinder|Homology,CP143562_38 # 43133 # 44101 # -1 # ID=1_38;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.613,100.0,649.4,322,3e-185,323,1,322,1,322,mobileOG_000277174,insH6,A0A0C5V4U8,integration/excision,NA,ISFinder,Homology,CP143562_38, 43133 # 44101 # -1 , 43133,44101,-1 ,1_38,1,38,00,ATG,AGGAG,5-10bp,0.613,CP143562,mobileOG_000277174_CP143562
9,mobileOG_000726762|NA:Keyword|Q5H569|integration/excision|NA|ISFinder|Keyword Search,CP143562_39 # 44251 # 45567 # -1 # ID=1_39;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.627,97.7,877.9,439,7e-254,439,2,439,1,438,mobileOG_000726762,NA:Keyword,Q5H569,integration/excision,NA,ISFinder,Keyword Search,CP143562_39, 44251 # 45567 # -1 , 44251,45567,-1 ,1_39,1,39,00,TTG,GGAG/GAGG,5-10bp,0.627,CP143562,mobileOG_000726762_CP143562
10,mobileOG_000277174|insH6|A0A0C5V4U8|integration/excision|NA|ISFinder|Homology,CP143562_40 # 45770 # 46738 # -1 # ID=1_40;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.614,99.7,646.0,322,3.3000000000000003e-184,323,1,322,1,322,mobileOG_000277174,insH6,A0A0C5V4U8,integration/excision,NA,ISFinder,Homology,CP143562_40, 45770 # 46738 # -1 , 45770,46738,-1 ,1_40,1,40,00,ATG,AGGAG,5-10bp,0.614,CP143562,mobileOG_000277174_CP143562
11,mobileOG_000726762|NA:Keyword|Q5H569|integration/excision|NA|ISFinder|Keyword Search,CP143562_51 # 58747 # 59922 # -1 # ID=1_51;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.634,98.5,787.7,439,8.5e-227,392,50,439,2,391,mobileOG_000726762,NA:Keyword,Q5H569,integration/excision,NA,ISFinder,Keyword Search,CP143562_51, 58747 # 59922 # -1 , 58747,59922,-1 ,1_51,1,51,00,ATG,GGA/GAG/AGG,5-10bp,0.634,CP143562,mobileOG_000726762_CP143562
12,mobileOG_000726761|NA:Keyword|Q5GVX5|integration/excision|NA|ISFinder|Keyword Search,CP143562_52 # 59990 # 60931 # -1 # ID=1_52;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.631,96.4,594.3,411,1.1000000000000001e-168,314,92,398,1,307,mobileOG_000726761,NA:Keyword,Q5GVX5,integration/excision,NA,ISFinder,Keyword Search,CP143562_52, 59990 # 60931 # -1 , 59990,60931,-1 ,1_52,1,52,00,GTG,None,None,0.631,CP143562,mobileOG_000726761_CP143562
13,mobileOG_000025185|higA|C3JNS7|stability/transfer/defense|NA|Plasmid RefSeq|Manual,CP143562_64 # 70506 # 70796 # -1 # ID=1_64;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.660,65.6,117.5,97,1.2e-25,97,5,97,4,96,mobileOG_000025185,higA,C3JNS7,stability/transfer/defense,NA,Plasmid RefSeq,Manual,CP143562_64, 70506 # 70796 # -1 , 70506,70796,-1 ,1_64,1,64,00,ATG,GGAG/GAGG,5-10bp,0.660,CP143562,mobileOG_000025185_CP143562
14,mobileOG_000346067|higB-1|WP_030008038.1|stability/transfer/defense|NA|Plasmid RefSeq|Homology,CP143562_65 # 70814 # 71095 # -1 # ID=1_65;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.606,72.0,142.1,93,4.5e-33,94,1,93,1,93,mobileOG_000346067,higB-1,WP_030008038.1,stability/transfer/defense,NA,Plasmid RefSeq,Homology,CP143562_65, 70814 # 71095 # -1 , 70814,71095,-1 ,1_65,1,65,00,ATG,None,None,0.606,CP143562,mobileOG_000346067_CP143562
15,mobileOG_000000383|recD|A0A0H2XCJ6|replication/recombination/repair|NA|ACLAME|Manual,CP143562_66 # 71190 # 73451 # -1 # ID=1_66;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.721,74.6,953.4,745,2.3e-276,754,1,745,1,753,mobileOG_000000383,recD,A0A0H2XCJ6,replication/recombination/repair,NA,ACLAME,Manual,CP143562_66, 71190 # 73451 # -1 , 71190,73451,-1 ,1_66,1,66,00,ATG,AGGAG,5-10bp,0.721,CP143562,mobileOG_000000383_CP143562
16,mobileOG_000032255|recB|A0A0H2XCV7|replication/recombination/repair|NA|ACLAME|Homology,CP143562_67 # 73639 # 77712 # -1 # ID=1_67;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.689,69.9,1765.4,1372,0.0,1358,1,1372,1,1357,mobileOG_000032255,recB,A0A0H2XCV7,replication/recombination/repair,NA,ACLAME,Homology,CP143562_67, 73639 # 77712 # -1 , 73639,77712,-1 ,1_67,1,67,00,ATG,AGGA,5-10bp,0.689,CP143562,mobileOG_000032255_CP143562
17,mobileOG_000000382|recC|A0A0H2XEP4|replication/recombination/repair|NA|ACLAME|Manual,CP143562_68 # 77709 # 81122 # -1 # ID=1_68;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.686,87.3,2002.3,1134,0.0,1138,1,1134,1,1137,mobileOG_000000382,recC,A0A0H2XEP4,replication/recombination/repair,NA,ACLAME,Manual,CP143562_68, 77709 # 81122 # -1 , 77709,81122,-1 ,1_68,1,68,00,ATG,None,None,0.686,CP143562,mobileOG_000000382_CP143562
