,Sequence Title,Query Title,Pident,Bitscore,Subject Sequence Length,e-value,Query Sequence Length,Start of Alignment in Subject,End of Alignment in Query,Start of Alignment in Query,End of Alignment in Query,mobileOG ID,Gene Name,Best Hit Accession ID,Major mobileOG Category,Minor mobileOG Category,Source Database,Evidence Type,Contig/ORF Name,ORF_Start_Stop_Strands,ORF_Start,ORF_End,Sense or Antisense Strand,Prodigal ID,Prodigal Designated Contigs,Unique_ORF,Partial Tag,Start Codon,RBS Motif,RBS Spacer,GC Content,Specific Contig,Final Sample Name
0,mobileOG_000275959|R00164|Q8RNJ7|integration/excision|NA|ISFinder|Homology,CP047492_1_156 # 178095 # 178307 # 1 # ID=1_156;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.592,100.0,128.3,394,5.1e-29,71,1,63,7,69,mobileOG_000275959,R00164,Q8RNJ7,integration/excision,NA,ISFinder,Homology,CP047492_1_156, 178095 # 178307 # 1 , 178095,178307,1 ,1_156,1,156,00,GTG,AGGAG,5-10bp,0.592,CP047492_1,mobileOG_000275959_CP047492_1
1,mobileOG_000277174|insH6|A0A0C5V4U8|integration/excision|NA|ISFinder|Homology,CP047492_1_159 # 180915 # 181883 # -1 # ID=1_159;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.615,100.0,649.4,322,3e-185,323,1,322,1,322,mobileOG_000277174,insH6,A0A0C5V4U8,integration/excision,NA,ISFinder,Homology,CP047492_1_159, 180915 # 181883 # -1 , 180915,181883,-1 ,1_159,1,159,00,ATG,AGGAG,5-10bp,0.615,CP047492_1,mobileOG_000277174_CP047492_1
2,mobileOG_000277175|tISRso16a|Q5H2C2|integration/excision|NA|ISFinder|Homology,CP047492_1_364 # 424433 # 424558 # 1 # ID=1_364;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.571,100.0,82.4,88,1.9e-15,42,48,88,1,41,mobileOG_000277175,tISRso16a,Q5H2C2,integration/excision,NA,ISFinder,Homology,CP047492_1_364, 424433 # 424558 # 1 , 424433,424558,1 ,1_364,1,364,00,ATG,None,None,0.571,CP047492_1,mobileOG_000277175_CP047492_1
3,mobileOG_000726765|NA:Keyword|Q9AG81|integration/excision|NA|ISFinder|Keyword Search,CP047492_1_425 # 486991 # 487146 # 1 # ID=1_425;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.571,100.0,96.7,266,1.2e-19,52,1,46,1,46,mobileOG_000726765,NA:Keyword,Q9AG81,integration/excision,NA,ISFinder,Keyword Search,CP047492_1_425, 486991 # 487146 # 1 , 486991,487146,1 ,1_425,1,425,00,ATG,None,None,0.571,CP047492_1,mobileOG_000726765_CP047492_1
4,mobileOG_000277175|tISRso16a|Q5H2C2|integration/excision|NA|ISFinder|Homology,CP047492_1_426 # 487331 # 487456 # 1 # ID=1_426;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.571,100.0,82.4,88,1.9e-15,42,48,88,1,41,mobileOG_000277175,tISRso16a,Q5H2C2,integration/excision,NA,ISFinder,Homology,CP047492_1_426, 487331 # 487456 # 1 , 487331,487456,1 ,1_426,1,426,00,ATG,None,None,0.571,CP047492_1,mobileOG_000277175_CP047492_1
5,mobileOG_000726767|NA:Keyword|Q5GY58|integration/excision|NA|ISFinder|Keyword Search,CP047492_1_452 # 513369 # 513503 # -1 # ID=1_452;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.652,100.0,92.0,332,2.6e-18,45,289,332,1,44,mobileOG_000726767,NA:Keyword,Q5GY58,integration/excision,NA,ISFinder,Keyword Search,CP047492_1_452, 513369 # 513503 # -1 , 513369,513503,-1 ,1_452,1,452,00,ATG,None,None,0.652,CP047492_1,mobileOG_000726767_CP047492_1
6,mobileOG_000725735|NA:Keyword|A0A0C5V5L1|integration/excision|NA|ISFinder|Keyword Search,CP047492_1_491 # 552870 # 553826 # -1 # ID=1_491;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.625,100.0,616.3,318,2.8e-175,319,1,318,1,318,mobileOG_000725735,NA:Keyword,A0A0C5V5L1,integration/excision,NA,ISFinder,Keyword Search,CP047492_1_491, 552870 # 553826 # -1 , 552870,553826,-1 ,1_491,1,491,00,ATG,GGAG/GAGG,5-10bp,0.625,CP047492_1,mobileOG_000725735_CP047492_1
7,mobileOG_000725735|NA:Keyword|A0A0C5V5L1|integration/excision|NA|ISFinder|Keyword Search,CP047492_1_720 # 800282 # 801238 # -1 # ID=1_720;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.625,100.0,616.3,318,2.8e-175,319,1,318,1,318,mobileOG_000725735,NA:Keyword,A0A0C5V5L1,integration/excision,NA,ISFinder,Keyword Search,CP047492_1_720, 800282 # 801238 # -1 , 800282,801238,-1 ,1_720,1,720,00,ATG,GGAG/GAGG,5-10bp,0.625,CP047492_1,mobileOG_000725735_CP047492_1
8,mobileOG_000277174|insH6|A0A0C5V4U8|integration/excision|NA|ISFinder|Homology,CP047492_1_751 # 835165 # 836133 # -1 # ID=1_751;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.614,100.0,649.4,322,3e-185,323,1,322,1,322,mobileOG_000277174,insH6,A0A0C5V4U8,integration/excision,NA,ISFinder,Homology,CP047492_1_751, 835165 # 836133 # -1 , 835165,836133,-1 ,1_751,1,751,00,ATG,AGGAG,5-10bp,0.614,CP047492_1,mobileOG_000277174_CP047492_1
9,mobileOG_000277174|insH6|A0A0C5V4U8|integration/excision|NA|ISFinder|Homology,CP047492_1_756 # 842963 # 843931 # 1 # ID=1_756;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.613,100.0,649.4,322,3e-185,323,1,322,1,322,mobileOG_000277174,insH6,A0A0C5V4U8,integration/excision,NA,ISFinder,Homology,CP047492_1_756, 842963 # 843931 # 1 , 842963,843931,1 ,1_756,1,756,00,ATG,AGGAG,5-10bp,0.613,CP047492_1,mobileOG_000277174_CP047492_1
