Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds	Annotation BUSCO Complete 	Annotation BUSCO Single Copy 	Annotation BUSCO Duplicated 	Annotation BUSCO Fragmented 	Annotation BUSCO Missing 	Annotation BUSCO Lineage 	Assembly Sequencing Tech	CheckM completeness	CheckM contamination
GCA_013388375.1	ASM1338837v1	Xanthomonas campestris pv. raphani		MAFF106181					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-07-04		1							PacBio RSII; Illumina HiSeq	99.08	1.19
GCF_013388375.1	ASM1338837v1	Xanthomonas campestris pv. raphani		MAFF106181					GCF_013388375.1-RS_2024_05_06	Complete Genome	2020-07-04		1							PacBio RSII; Illumina HiSeq	99.08	1.19
GCA_000007145.1	ASM714v1	Xanthomonas campestris pv. campestris str. ATCC 33913		ATCC 33913					Annotation submitted by Sao Paulo state (Brazil) Consortium	Complete Genome	2002-05-24		1								98.67	0.77
GCF_000007145.1	ASM714v1	Xanthomonas campestris pv. campestris str. ATCC 33913		ATCC 33913					GCF_000007145.1-RS_2024_05_05	Complete Genome	2002-05-24		1								98.67	0.77
GCA_012848175.1	ASM1284817v1	Xanthomonas campestris pv. badrii		NEB122					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-04-27		1							PacBio RSII	94.18	2.96
GCF_012848175.1	ASM1284817v1	Xanthomonas campestris pv. badrii		NEB122					GCF_012848175.1-RS_2024_05_06	Complete Genome	2020-04-27		1							PacBio RSII	94.18	2.96
GCA_030848325.1	ASM3084832v1	Xanthomonas campestris pv. campestris		CFBP 9145					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-08-21		1							Oxford Nanopore MinION; llumina Novaseq	99.12	2.18
GCF_030848325.1	ASM3084832v1	Xanthomonas campestris pv. campestris		CFBP 9145					GCF_030848325.1-RS_2024_05_06	Complete Genome	2023-08-21		1							Oxford Nanopore MinION; llumina Novaseq	99.12	2.18
GCA_024298685.1	ASM2429868v1	Xanthomonas campestris pv. campestris		CN07						Complete Genome	2022-07-18		2							Oxford Nanopore GridION	96.5	1.1
GCF_024298685.1	ASM2429868v1	Xanthomonas campestris pv. campestris		CN07					GCF_024298685.1-RS_2024_05_06	Complete Genome	2022-07-18		2							Oxford Nanopore GridION	96.5	1.1
GCA_028749885.1	ASM2874988v1	Xanthomonas campestris pv. campestris		12049					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		2							PacBio Sequel	98.62	1.69
GCF_028749885.1	ASM2874988v1	Xanthomonas campestris pv. campestris		12049					GCF_028749885.1-RS_2024_05_06	Complete Genome	2023-02-21		2							PacBio Sequel	98.62	1.69
GCA_028749925.1	ASM2874992v1	Xanthomonas campestris pv. campestris		0659					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		1							PacBio Sequel	99.2	1.2
GCF_028749925.1	ASM2874992v1	Xanthomonas campestris pv. campestris		0659					GCF_028749925.1-RS_2024_05_06	Complete Genome	2023-02-21		1							PacBio Sequel	99.2	1.2
GCA_028749945.1	ASM2874994v1	Xanthomonas campestris pv. campestris		0793					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		1							PacBio Sequel	99.23	1.2
GCF_028749945.1	ASM2874994v1	Xanthomonas campestris pv. campestris		0793					GCF_028749945.1-RS_2024_05_12	Complete Genome	2023-02-21		1							PacBio Sequel	99.23	1.2
GCA_028749865.1	ASM2874986v1	Xanthomonas campestris pv. campestris		0792					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		1							PacBio Sequel	99.23	1.2
GCF_028749865.1	ASM2874986v1	Xanthomonas campestris pv. campestris		0792					GCF_028749865.1-RS_2024_05_12	Complete Genome	2023-02-21		1							PacBio Sequel	99.23	1.2
GCA_021459985.1	ASM2145998v1	Xanthomonas campestris pv. campestris		SB80					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-01-13		1							Oxford Nanopore GridION	96.81	1.21
GCF_021459985.1	ASM2145998v1	Xanthomonas campestris pv. campestris		SB80					GCF_021459985.1-RS_2024_05_06	Complete Genome	2022-01-13		1							Oxford Nanopore GridION	96.81	1.21
GCA_028749845.1	ASM2874984v1	Xanthomonas campestris pv. campestris		10090					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		1							PacBio Sequel	99.4	1.21
GCF_028749845.1	ASM2874984v1	Xanthomonas campestris pv. campestris		10090					GCF_028749845.1-RS_2024_05_12	Complete Genome	2023-02-21		1							PacBio Sequel	99.4	1.21
GCA_021777455.1	ASM2177745v1	Xanthomonas campestris pv. campestris		BJSJQ20200612					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-02-01		1							Oxford Nanopore	99.25	1.21
GCF_021777455.1	ASM2177745v1	Xanthomonas campestris pv. campestris		BJSJQ20200612					GCF_021777455.1-RS_2024_05_12	Complete Genome	2022-02-01		1							Oxford Nanopore	99.25	1.21
GCA_028749765.1	ASM2874976v1	Xanthomonas campestris pv. campestris		10108					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		1							PacBio Sequel	99.4	1.21
GCF_028749765.1	ASM2874976v1	Xanthomonas campestris pv. campestris		10108					GCF_028749765.1-RS_2024_05_12	Complete Genome	2023-02-21		1							PacBio Sequel	99.4	1.21
GCA_028749785.1	ASM2874978v1	Xanthomonas campestris pv. campestris		08290					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		2							PacBio Sequel	97.92	1.4
