Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status)	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Lab Contact	Species	Pathovar	Race	Comment	Bio Project ID	Project	Sample	Secondary Sample	Date Entered	Release Date	Barcode	Differences	ST	fusA	gapA	gltA	gyrB	lacF	lepA
XAN_AA0351AA	IXO1104	SRR21820801;OXFORD_NANOPORE;Single;;SRX17810041;SRA	Environment	Plant	Oryza sativa	2009				Asia	India							CSIR-Institute of Microbial Technology	Xanthomonas oryzae	oryzae			PRJNA269488	SRP401244	SAMN03252587	SRS15334164	2023-04-25	2022-10-06	XAN_AA0351AA	NaN	3	25	17	18	7	14	32
XAN_AA0353AA	IXO1088	SRR21820712;OXFORD_NANOPORE;Single;;SRX17809952;SRA	Environment	Plant	Oryza sativa	2009				Asia	India							CSIR-Institute of Microbial Technology	Xanthomonas oryzae	oryzae			PRJNA269487	SRP401240	SAMN03252586	SRS15334077	2023-04-25	2022-10-06	XAN_AA0353AA	NaN	3	25	17	18	7	14	32
XAN_AA0354AA	IXO704	SRR21820710;OXFORD_NANOPORE;Single;;SRX17809950;SRA	Environment	Plant	Oryza sativa	2007				Asia	India							CSIR-Institute of Microbial Technology	Xanthomonas oryzae	oryzae			PRJNA269481	SRP401239	SAMN03252585	SRS15334076	2023-04-25	2022-10-06	XAN_AA0354AA	NaN	3	25	17	18	7	14	32
XAN_AA0355AA	IXO842	SRR21820707;OXFORD_NANOPORE;Single;;SRX17809947;SRA	Environment	Plant	Oryza sativa	2007				Asia	India							CSIR-Institute of Microbial Technology	Xanthomonas oryzae				PRJNA269485	SRP401238	SAMN03252583	SRS15334074	2023-04-25	2022-10-06	XAN_AA0355AA	NaN	3	25	17	18	7	14	32
XAN_AA0358AA	IXO365	SRR21820697;OXFORD_NANOPORE;Single;;SRX17809937;SRA	Environment	Plant	Oryza sativa	2005				Asia	India							CSIR-Institute of Microbial Technology	Xanthomonas oryzae	oryzae			PRJNA269461	SRP401234	SAMN03252576	SRS15334067	2023-04-25	2022-10-06	XAN_AA0358AA	NaN	3	25	17	18	7	14	32
XAN_AA0360AA	IXO792	SRR21814027;OXFORD_NANOPORE;Single;;SRX17803401;SRA	Environment	Plant	Oryza sativa	2007				Asia	India							CSIR-Institute of Microbial Technology	Xanthomonas oryzae				PRJNA269483	SRP401108	SAMN03252572	SRS15327667	2023-04-25	2022-10-05	XAN_AA0360AA	NaN	3	25	17	18	7	14	32
XAN_AA0361AA	IXO493	SRR21813965;OXFORD_NANOPORE;Single;;SRX17803339;SRA	Environment	Plant	Oryza sativa	2006				Asia	India							CSIR-Institute of Microbial Technology	Xanthomonas oryzae				PRJNA269466	SRP401103	SAMN03252574	SRS15327606	2023-04-25	2022-10-05	XAN_AA0361AA	NaN	3	25	17	18	7	14	32
XAN_AA0362AA	IXO630	SRR21813856;OXFORD_NANOPORE;Single;;SRX17803231;SRA	Environment	Plant	Oryza sativa	2005				Asia	India							CSIR-Institute of Microbial Technology	Xanthomonas oryzae	oryzae			PRJNA269474	SRP401101	SAMN03252567	SRS15327499	2023-04-25	2022-10-05	XAN_AA0362AA	NaN	3	25	17	18	7	14	32
XAN_AA0781AA	PXO99A-gx	SRR15390484;PACBIO_SMRT;Single;;SRX11692699;SRA	Environment	Soil/Dust	rice; field	2018	10	10		Asia	China	Guangxi		Nanning				Guangxi University	Xanthomonas oryzae				PRJNA725623	SRP331760	SAMN18897162	SRS9724294	2023-04-25	2021-08-10	XAN_AA0781AA	NaN	3	25	17	18	7	14	32
XAN_AA1794AA	NX0260	SRR8848096;PACBIO_SMRT;Single;;SRX5635863;SRA	Environment	Plant	Oryza sativa	2018	1	1		Asia	Nepal							University of Florida	Xanthomonas oryzae				PRJNA497605	SRP190842	SAMN10261817	SRS4581632	2023-04-25	2019-04-04	XAN_AA1794AA	NaN	3	25	17	18	7	14	32
