Contig,Start,Stop,Score,Threhold
CP033197,1,5000,0.173,13.142
CP033197,30000,37500,0.192,13.142
CP033197,57500,70000,0.163,13.142
CP033197,85000,95000,0.162,13.142
CP033197,117500,130000,0.151,13.142
CP033197,140000,155000,0.236,13.142
CP033197,207500,212500,0.133,13.142
CP033197,232500,237500,0.153,13.142
CP033197,290000,295000,0.162,13.142
CP033197,302500,317500,0.394,13.142
CP033197,325000,330000,0.172,13.142
CP033197,370000,380000,0.151,13.142
CP033197,420000,425000,0.138,13.142
CP033197,492500,497500,0.188,13.142
CP033197,530000,540000,0.562,13.142
CP033197,557500,567500,0.216,13.142
CP033197,622500,640000,0.224,13.142
CP033197,700000,705000,0.139,13.142
CP033197,742500,747500,0.141,13.142
CP033197,792500,802500,0.291,13.142
CP033197,805000,812500,0.15,13.142
CP033197,867500,877500,0.199,13.142
CP033197,980000,985000,0.132,13.142
CP033197,1162500,1205000,0.181,13.142
CP033197,1252500,1257500,0.199,13.142
CP033197,1272500,1290000,0.276,13.142
CP033197,1305000,1312500,0.193,13.142
CP033197,1327500,1337500,0.221,13.142
CP033197,1365000,1375000,0.21,13.142
CP033197,1440000,1455000,0.146,13.142
CP033197,1472500,1477500,0.157,13.142
CP033197,1557500,1565000,0.157,13.142
CP033197,1582500,1600000,0.243,13.142
CP033197,1610000,1615000,0.181,13.142
CP033197,1672500,1677500,0.132,13.142
CP033197,1730000,1740000,0.246,13.142
CP033197,1750000,1757500,0.232,13.142
CP033197,1777500,1785000,0.173,13.142
CP033197,1795000,1812500,0.192,13.142
CP033197,1880000,1887500,0.158,13.142
CP033197,1972500,1977500,0.151,13.142
CP033197,1982500,1990000,0.147,13.142
CP033197,2007500,2015000,0.225,13.142
CP033197,2020000,2030000,0.218,13.142
CP033197,2050000,2055000,0.138,13.142
CP033197,2115000,2122500,0.21,13.142
CP033197,2172500,2180000,0.142,13.142
CP033197,2227500,2247500,0.242,13.142
CP033197,2282500,2287500,0.189,13.142
CP033197,2295000,2300000,0.137,13.142
CP033197,2360000,2365000,0.179,13.142
CP033197,2487500,2500000,0.209,13.142
CP033197,2512500,2517500,0.167,13.142
CP033197,2610000,2660000,0.231,13.142
CP033197,2705000,2710000,0.148,13.142
CP033197,2797500,2815000,0.18,13.142
CP033197,2832500,2837500,0.162,13.142
CP033197,2957500,2965000,0.152,13.142
CP033197,3105000,3112500,0.132,13.142
CP033197,3132500,3137500,0.171,13.142
CP033197,3142500,3150000,0.143,13.142
CP033197,3172500,3182500,0.239,13.142
CP033197,3252500,3265000,0.213,13.142
CP033197,3270000,3280000,0.241,13.142
CP033197,3285000,3290000,0.176,13.142
CP033197,3297500,3302500,0.196,13.142
CP033197,3335000,3347500,0.234,13.142
CP033197,3355000,3360000,0.137,13.142
CP033197,3407500,3435000,0.27,13.142
CP033197,3507500,3515000,0.175,13.142
CP033197,3527500,3532500,0.142,13.142
CP033197,3542500,3562500,0.174,13.142
CP033197,3610000,3625000,0.643,13.142
CP033197,3632500,3637500,0.149,13.142
CP033197,3775000,3792500,0.195,13.142
CP033197,3817500,3825000,0.143,13.142
CP033197,3862500,3867500,0.141,13.142
CP033197,3945000,3957500,0.145,13.142
CP033197,3980000,3987500,0.14,13.142
CP033197,3992500,3997500,0.137,13.142
CP033197,4000000,4015000,0.151,13.142
CP033197,4037500,4042500,0.135,13.142
CP033197,4072500,4077500,0.153,13.142
CP033197,4165000,4172500,0.23,13.142
CP033197,4215000,4220000,0.179,13.142
CP033197,4250000,4267500,0.424,13.142
CP033197,4370000,4375000,0.136,13.142
CP033197,4420000,4425000,0.138,13.142
CP033197,4460000,4465000,0.14,13.142
CP033197,4515000,4522500,0.236,13.142
CP033197,4552500,4560000,0.396,13.142
CP033197,4562500,4570000,0.164,13.142
CP033197,4702500,4707500,0.161,13.142
CP033197,4717500,4725000,0.165,13.142
CP033197,4780000,4787500,0.202,13.142
CP033197,4805000,4810000,0.171,13.142
CP033197,4852500,4857500,0.163,13.142
CP033197,4945000,4952500,0.159,13.142
