Contig,Start,Stop,Score,Threhold
CP061375_1,1,15000,0.206,13.133
CP061375_1,85000,92500,0.149,13.133
CP061375_1,187500,195000,0.159,13.133
CP061375_1,212500,232500,0.22,13.133
CP061375_1,237500,255000,0.241,13.133
CP061375_1,335000,342500,0.222,13.133
CP061375_1,392500,400000,0.148,13.133
CP061375_1,447500,462500,0.195,13.133
CP061375_1,497500,502500,0.178,13.133
CP061375_1,575000,582500,0.195,13.133
CP061375_1,632500,637500,0.145,13.133
CP061375_1,702500,715000,0.228,13.133
CP061375_1,822500,860000,0.245,13.133
CP061375_1,912500,917500,0.136,13.133
CP061375_1,992500,1010000,0.193,13.133
CP061375_1,1025000,1030000,0.137,13.133
CP061375_1,1185000,1190000,0.151,13.133
CP061375_1,1302500,1307500,0.14,13.133
CP061375_1,1330000,1335000,0.156,13.133
CP061375_1,1340000,1347500,0.167,13.133
CP061375_1,1370000,1382500,0.294,13.133
CP061375_1,1405000,1410000,0.14,13.133
CP061375_1,1452500,1457500,0.135,13.133
CP061375_1,1497500,1502500,0.272,13.133
CP061375_1,1510000,1515000,0.136,13.133
CP061375_1,1562500,1587500,0.297,13.133
CP061375_1,1657500,1667500,0.166,13.133
CP061375_1,1695000,1707500,0.23,13.133
CP061375_1,1710000,1715000,0.26,13.133
CP061375_1,1765000,1780000,0.657,13.133
CP061375_1,1927500,1945000,0.2,13.133
CP061375_1,1970000,1977500,0.149,13.133
CP061375_1,2097500,2102500,0.161,13.133
CP061375_1,2105000,2110000,0.133,13.133
CP061375_1,2135000,2140000,0.145,13.133
CP061375_1,2145000,2150000,0.149,13.133
CP061375_1,2152500,2167500,0.153,13.133
CP061375_1,2172500,2177500,0.132,13.133
CP061375_1,2190000,2195000,0.138,13.133
CP061375_1,2225000,2230000,0.159,13.133
CP061375_1,2315000,2325000,0.192,13.133
CP061375_1,2367500,2372500,0.187,13.133
CP061375_1,2375000,2380000,0.193,13.133
CP061375_1,2402500,2420000,0.433,13.133
CP061375_1,2462500,2467500,0.145,13.133
CP061375_1,2562500,2567500,0.162,13.133
CP061375_1,2625000,2635000,0.239,13.133
CP061375_1,2650000,2662500,0.437,13.133
CP061375_1,2692500,2700000,0.167,13.133
CP061375_1,2815000,2822500,0.152,13.133
CP061375_1,2832500,2837500,0.154,13.133
CP061375_1,2860000,2865000,0.163,13.133
CP061375_1,2875000,2890000,0.392,13.133
CP061375_1,2897500,2902500,0.165,13.133
CP061375_1,2955000,2960000,0.157,13.133
CP061375_1,2980000,2985000,0.131,13.133
CP061375_1,3045000,3050000,0.169,13.133
CP061375_1,3142500,3150000,0.178,13.133
CP061375_1,3172500,3180000,0.151,13.133
CP061375_1,3202500,3210000,0.3,13.133
CP061375_1,3220000,3232500,0.161,13.133
CP061375_1,3255000,3265000,0.164,13.133
CP061375_1,3275000,3287500,0.157,13.133
CP061375_1,3342500,3347500,0.159,13.133
CP061375_1,3362500,3370000,0.187,13.133
CP061375_1,3425000,3432500,0.158,13.133
CP061375_1,3442500,3447500,0.153,13.133
CP061375_1,3580000,3587500,0.158,13.133
CP061375_1,3590000,3597500,0.266,13.133
CP061375_1,3622500,3630000,0.227,13.133
CP061375_1,3727500,3732500,0.168,13.133
CP061375_1,3875000,3887500,0.337,13.133
CP061375_1,3892500,3897500,0.193,13.133
CP061375_1,3952500,3965000,0.208,13.133
CP061375_1,4062500,4067500,0.144,13.133
CP061375_1,4245000,4280000,0.196,13.133
CP061375_1,4285000,4290000,0.155,13.133
CP061375_1,4335000,4345000,0.178,13.133
CP061375_1,4350000,4357500,0.27,13.133
CP061375_1,4375000,4395000,0.216,13.133
CP061375_1,4400000,4410000,0.228,13.133
CP061375_1,4442500,4450000,0.151,13.133
CP061375_1,4512500,4530000,0.153,13.133
CP061375_1,4532500,4537500,0.133,13.133
CP061375_1,4632500,4640000,0.153,13.133
CP061375_1,4657500,4675000,0.246,13.133
CP061375_1,4682500,4690000,0.149,13.133
CP061375_1,4700000,4705000,0.132,13.133
CP061375_1,4745000,4750000,0.133,13.133
CP061375_1,4777500,4785000,0.145,13.133
CP061375_1,4807500,4817500,0.242,13.133
CP061375_1,4825000,4832500,0.234,13.133
CP061375_1,4852500,4862500,0.171,13.133
